delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
234262-150918-472655-415692-1621233-664012-305299-393833,131865-111634-41590-61856-146858-27102-50466-142380,16382-39390-8427-19373-16117-7796-23026-18796,8186-34841-18835-7406-6578-17356-2560-18811,19116-18466-16203-4989-2474-3014-2888-18235,5437-8485-11552-6365-5902-1888-3019-12171,3940-8613-4888-4833-3141-2573-599-6320,4109-5613-2432-2550-2191-1141-604-2177,easy
150918-472655-415692-1621233-664012-305299-393833-234904,111634-41590-61856-146858-27102-50466-142380-125135,39390-8427-19373-16117-7796-23026-18796-5164,34841-18835-7406-6578-17356-2560-18811-9309,18466-16203-4989-2474-3014-2888-18235-4697,8485-11552-6365-5902-1888-3019-12171-7831,8613-4888-4833-3141-2573-599-6320-5124,5613-2432-2550-2191-1141-604-2177-2806,easy
472655-415692-1621233-664012-305299-393833-234904-19445,41590-61856-146858-27102-50466-142380-125135-24272,8427-19373-16117-7796-23026-18796-5164-5671,18835-7406-6578-17356-2560-18811-9309-8852,16203-4989-2474-3014-2888-18235-4697-2671,11552-6365-5902-1888-3019-12171-7831-4881,4888-4833-3141-2573-599-6320-5124-2624,2432-2550-2191-1141-604-2177-2806-1887,easy
415692-1621233-664012-305299-393833-234904-19445-70416,61856-146858-27102-50466-142380-125135-24272-19677,19373-16117-7796-23026-18796-5164-5671-3199,7406-6578-17356-2560-18811-9309-8852-3103,4989-2474-3014-2888-18235-4697-2671-2739,6365-5902-1888-3019-12171-7831-4881-1787,4833-3141-2573-599-6320-5124-2624-1079,2550-2191-1141-604-2177-2806-1887-1082,easy
1621233-664012-305299-393833-234904-19445-70416-1800211,146858-27102-50466-142380-125135-24272-19677-69534,16117-7796-23026-18796-5164-5671-3199-21017,6578-17356-2560-18811-9309-8852-3103-5117,2474-3014-2888-18235-4697-2671-2739-6166,5902-1888-3019-12171-7831-4881-1787-7123,3141-2573-599-6320-5124-2624-1079-3848,2191-1141-604-2177-2806-1887-1082-6325,easy
664012-305299-393833-234904-19445-70416-1800211-19014,27102-50466-142380-125135-24272-19677-69534-36263,7796-23026-18796-5164-5671-3199-21017-1801,17356-2560-18811-9309-8852-3103-5117-8372,3014-2888-18235-4697-2671-2739-6166-7220,1888-3019-12171-7831-4881-1787-7123-8443,2573-599-6320-5124-2624-1079-3848-3449,1141-604-2177-2806-1887-1082-6325-4476,easy
305299-393833-234904-19445-70416-1800211-19014-190938,50466-142380-125135-24272-19677-69534-36263-4793,23026-18796-5164-5671-3199-21017-1801-3226,2560-18811-9309-8852-3103-5117-8372-4756,2888-18235-4697-2671-2739-6166-7220-1339,3019-12171-7831-4881-1787-7123-8443-1421,599-6320-5124-2624-1079-3848-3449-756,604-2177-2806-1887-1082-6325-4476-975,easy
393833-234904-19445-70416-1800211-19014-190938-575738,142380-125135-24272-19677-69534-36263-4793-10934,18796-5164-5671-3199-21017-1801-3226-18288,18811-9309-8852-3103-5117-8372-4756-7642,18235-4697-2671-2739-6166-7220-1339-6178,12171-7831-4881-1787-7123-8443-1421-9272,6320-5124-2624-1079-3848-3449-756-7069,2177-2806-1887-1082-6325-4476-975-2110,easy
234904-19445-70416-1800211-19014-190938-575738-103343,125135-24272-19677-69534-36263-4793-10934-6671,5164-5671-3199-21017-1801-3226-18288-1218,9309-8852-3103-5117-8372-4756-7642-5898,4697-2671-2739-6166-7220-1339-6178-1679,7831-4881-1787-7123-8443-1421-9272-2003,5124-2624-1079-3848-3449-756-7069-1269,2806-1887-1082-6325-4476-975-2110-593,easy
19445-70416-1800211-19014-190938-575738-103343-11423,24272-19677-69534-36263-4793-10934-6671-17216,5671-3199-21017-1801-3226-18288-1218-13414,8852-3103-5117-8372-4756-7642-5898-9346,2671-2739-6166-7220-1339-6178-1679-4442,4881-1787-7123-8443-1421-9272-2003-4690,2624-1079-3848-3449-756-7069-1269-3605,1887-1082-6325-4476-975-2110-593-4184,easy
70416-1800211-19014-190938-575738-103343-11423-328216,19677-69534-36263-4793-10934-6671-17216-28825,3199-21017-1801-3226-18288-1218-13414-21815,3103-5117-8372-4756-7642-5898-9346-12967,2739-6166-7220-1339-6178-1679-4442-5834,1787-7123-8443-1421-9272-2003-4690-3188,1079-3848-3449-756-7069-1269-3605-3893,1082-6325-4476-975-2110-593-4184-2147,easy
1800211-19014-190938-575738-103343-11423-328216-10846,69534-36263-4793-10934-6671-17216-28825-24043,21017-1801-3226-18288-1218-13414-21815-2137,5117-8372-4756-7642-5898-9346-12967-1499,6166-7220-1339-6178-1679-4442-5834-2025,7123-8443-1421-9272-2003-4690-3188-1364,3848-3449-756-7069-1269-3605-3893-898,6325-4476-975-2110-593-4184-2147-407,easy
19014-190938-575738-103343-11423-328216-10846-20518,36263-4793-10934-6671-17216-28825-24043-9073,1801-3226-18288-1218-13414-21815-2137-1207,8372-4756-7642-5898-9346-12967-1499-4933,7220-1339-6178-1679-4442-5834-2025-2037,8443-1421-9272-2003-4690-3188-1364-1594,3449-756-7069-1269-3605-3893-898-1578,4476-975-2110-593-4184-2147-407-945,easy
190938-575738-103343-11423-328216-10846-20518-216040,4793-10934-6671-17216-28825-24043-9073-14845,3226-18288-1218-13414-21815-2137-1207-5971,4756-7642-5898-9346-12967-1499-4933-1945,1339-6178-1679-4442-5834-2025-2037-2925,1421-9272-2003-4690-3188-1364-1594-1835,756-7069-1269-3605-3893-898-1578-1504,975-2110-593-4184-2147-407-945-1660,hard
575738-103343-11423-328216-10846-20518-216040-169005,10934-6671-17216-28825-24043-9073-14845-30846,18288-1218-13414-21815-2137-1207-5971-2475,7642-5898-9346-12967-1499-4933-1945-1665,6178-1679-4442-5834-2025-2037-2925-4430,9272-2003-4690-3188-1364-1594-1835-3390,7069-1269-3605-3893-898-1578-1504-1024,2110-593-4184-2147-407-945-1660-836,easy
103343-11423-328216-10846-20518-216040-169005-469796,6671-17216-28825-24043-9073-14845-30846-49228,1218-13414-21815-2137-1207-5971-2475-27870,5898-9346-12967-1499-4933-1945-1665-3437,1679-4442-5834-2025-2037-2925-4430-2195,2003-4690-3188-1364-1594-1835-3390-5886,1269-3605-3893-898-1578-1504-1024-8428,593-4184-2147-407-945-1660-836-1633,easy
11423-328216-10846-20518-216040-169005-469796-20292,17216-28825-24043-9073-14845-30846-49228-6450,13414-21815-2137-1207-5971-2475-27870-7150,9346-12967-1499-4933-1945-1665-3437-14148,4442-5834-2025-2037-2925-4430-2195-3694,4690-3188-1364-1594-1835-3390-5886-4530,3605-3893-898-1578-1504-1024-8428-1661,4184-2147-407-945-1660-836-1633-2450,easy
328216-10846-20518-216040-169005-469796-20292-151413,28825-24043-9073-14845-30846-49228-6450-14591,21815-2137-1207-5971-2475-27870-7150-956,12967-1499-4933-1945-1665-3437-14148-4207,5834-2025-2037-2925-4430-2195-3694-2805,3188-1364-1594-1835-3390-5886-4530-2712,3893-898-1578-1504-1024-8428-1661-995,2147-407-945-1660-836-1633-2450-552,easy
10846-20518-216040-169005-469796-20292-151413-103305,24043-9073-14845-30846-49228-6450-14591-59583,2137-1207-5971-2475-27870-7150-956-10661,1499-4933-1945-1665-3437-14148-4207-10623,2025-2037-2925-4430-2195-3694-2805-15523,1364-1594-1835-3390-5886-4530-2712-4010,898-1578-1504-1024-8428-1661-995-5139,407-945-1660-836-1633-2450-552-4202,hard
20518-216040-169005-469796-20292-151413-103305-30411,9073-14845-30846-49228-6450-14591-59583-3500,1207-5971-2475-27870-7150-956-10661-5263,4933-1945-1665-3437-14148-4207-10623-1215,2037-2925-4430-2195-3694-2805-15523-980,1594-1835-3390-5886-4530-2712-4010-1085,1578-1504-1024-8428-1661-995-5139-978,945-1660-836-1633-2450-552-4202-1481,easy
216040-169005-469796-20292-151413-103305-30411-12169,14845-30846-49228-6450-14591-59583-3500-6941,5971-2475-27870-7150-956-10661-5263-23861,1945-1665-3437-14148-4207-10623-1215-16257,2925-4430-2195-3694-2805-15523-980-15111,1835-3390-5886-4530-2712-4010-1085-4078,1504-1024-8428-1661-995-5139-978-5031,1660-836-1633-2450-552-4202-1481-4273,easy
169005-469796-20292-151413-103305-30411-12169-283894,30846-49228-6450-14591-59583-3500-6941-43701,2475-27870-7150-956-10661-5263-23861-9429,1665-3437-14148-4207-10623-1215-16257-18923,4430-2195-3694-2805-15523-980-15111-8095,3390-5886-4530-2712-4010-1085-4078-7487,1024-8428-1661-995-5139-978-5031-10397,836-1633-2450-552-4202-1481-4273-3395,easy
469796-20292-151413-103305-30411-12169-283894-1016916,49228-6450-14591-59583-3500-6941-43701-82248,27870-7150-956-10661-5263-23861-9429-27035,3437-14148-4207-10623-1215-16257-18923-17553,2195-3694-2805-15523-980-15111-8095-16327,5886-4530-2712-4010-1085-4078-7487-8356,8428-1661-995-5139-978-5031-10397-5168,1633-2450-552-4202-1481-4273-3395-3717,easy
20292-151413-103305-30411-12169-283894-1016916-36622,6450-14591-59583-3500-6941-43701-82248-17600,7150-956-10661-5263-23861-9429-27035-24404,14148-4207-10623-1215-16257-18923-17553-15911,3694-2805-15523-980-15111-8095-16327-4334,4530-2712-4010-1085-4078-7487-8356-7537,1661-995-5139-978-5031-10397-5168-2717,2450-552-4202-1481-4273-3395-3717-1567,easy
151413-103305-30411-12169-283894-1016916-36622-171942,14591-59583-3500-6941-43701-82248-17600-101532,956-10661-5263-23861-9429-27035-24404-5461,4207-10623-1215-16257-18923-17553-15911-3062,2805-15523-980-15111-8095-16327-4334-3293,2712-4010-1085-4078-7487-8356-7537-2156,995-5139-978-5031-10397-5168-2717-1003,552-4202-1481-4273-3395-3717-1567-546,easy
103305-30411-12169-283894-1016916-36622-171942-12880,59583-3500-6941-43701-82248-17600-101532-13405,10661-5263-23861-9429-27035-24404-5461-17844,10623-1215-16257-18923-17553-15911-3062-3682,15523-980-15111-8095-16327-4334-3293-6736,4010-1085-4078-7487-8356-7537-2156-3421,5139-978-5031-10397-5168-2717-1003-3366,4202-1481-4273-3395-3717-1567-546-2897,easy
30411-12169-283894-1016916-36622-171942-12880-483198,3500-6941-43701-82248-17600-101532-13405-10748,5263-23861-9429-27035-24404-5461-17844-10642,1215-16257-18923-17553-15911-3062-3682-6791,980-15111-8095-16327-4334-3293-6736-2807,1085-4078-7487-8356-7537-2156-3421-4013,978-5031-10397-5168-2717-1003-3366-2819,1481-4273-3395-3717-1567-546-2897-1921,easy
12169-283894-1016916-36622-171942-12880-483198-11235,6941-43701-82248-17600-101532-13405-10748-32895,23861-9429-27035-24404-5461-17844-10642-19056,16257-18923-17553-15911-3062-3682-6791-21958,15111-8095-16327-4334-3293-6736-2807-7535,4078-7487-8356-7537-2156-3421-4013-6899,5031-10397-5168-2717-1003-3366-2819-10746,4273-3395-3717-1567-546-2897-1921-3739,hard
283894-1016916-36622-171942-12880-483198-11235-15487,43701-82248-17600-101532-13405-10748-32895-13525,9429-27035-24404-5461-17844-10642-19056-20984,18923-17553-15911-3062-3682-6791-21958-25155,8095-16327-4334-3293-6736-2807-7535-9541,7487-8356-7537-2156-3421-4013-6899-8074,10397-5168-2717-1003-3366-2819-10746-5128,3395-3717-1567-546-2897-1921-3739-2914,hard
1016916-36622-171942-12880-483198-11235-15487-725934,82248-17600-101532-13405-10748-32895-13525-252768,27035-24404-5461-17844-10642-19056-20984-3705,17553-15911-3062-3682-6791-21958-25155-10142,16327-4334-3293-6736-2807-7535-9541-5734,8356-7537-2156-3421-4013-6899-8074-9472,5168-2717-1003-3366-2819-10746-5128-2810,3717-1567-546-2897-1921-3739-2914-3074,easy
36622-171942-12880-483198-11235-15487-725934-79093,17600-101532-13405-10748-32895-13525-252768-47899,24404-5461-17844-10642-19056-20984-3705-3231,15911-3062-3682-6791-21958-25155-10142-2485,4334-3293-6736-2807-7535-9541-5734-1961,7537-2156-3421-4013-6899-8074-9472-2106,2717-1003-3366-2819-10746-5128-2810-611,1567-546-2897-1921-3739-2914-3074-1073,hard
171942-12880-483198-11235-15487-725934-79093-333272,101532-13405-10748-32895-13525-252768-47899-27930,5461-17844-10642-19056-20984-3705-3231-19665,3062-3682-6791-21958-25155-10142-2485-6929,3293-6736-2807-7535-9541-5734-1961-16322,2156-3421-4013-6899-8074-9472-2106-5230,1003-3366-2819-10746-5128-2810-611-5246,546-2897-1921-3739-2914-3074-1073-2894,easy
12880-483198-11235-15487-725934-79093-333272-672724,13405-10748-32895-13525-252768-47899-27930-37037,17844-10642-19056-20984-3705-3231-19665-29354,3682-6791-21958-25155-10142-2485-6929-10724,6736-2807-7535-9541-5734-1961-16322-7777,3421-4013-6899-8074-9472-2106-5230-6732,3366-2819-10746-5128-2810-611-5246-4494,2897-1921-3739-2914-3074-1073-2894-2004,easy
483198-11235-15487-725934-79093-333272-672724-167274,10748-32895-13525-252768-47899-27930-37037-29315,10642-19056-20984-3705-3231-19665-29354-19498,6791-21958-25155-10142-2485-6929-10724-4082,2807-7535-9541-5734-1961-16322-7777-2378,4013-6899-8074-9472-2106-5230-6732-1701,2819-10746-5128-2810-611-5246-4494-1866,1921-3739-2914-3074-1073-2894-2004-2165,easy
11235-15487-725934-79093-333272-672724-167274-14855,32895-13525-252768-47899-27930-37037-29315-37589,19056-20984-3705-3231-19665-29354-19498-24695,21958-25155-10142-2485-6929-10724-4082-27685,7535-9541-5734-1961-16322-7777-2378-8981,6899-8074-9472-2106-5230-6732-1701-8327,10746-5128-2810-611-5246-4494-1866-9632,3739-2914-3074-1073-2894-2004-2165-4912,easy
15487-725934-79093-333272-672724-167274-14855-19517,13525-252768-47899-27930-37037-29315-37589-36980,20984-3705-3231-19665-29354-19498-24695-31200,25155-10142-2485-6929-10724-4082-27685-10604,9541-5734-1961-16322-7777-2378-8981-2813,8074-9472-2106-5230-6732-1701-8327-5719,5128-2810-611-5246-4494-1866-9632-3656,2914-3074-1073-2894-2004-2165-4912-2589,easy
725934-79093-333272-672724-167274-14855-19517-29334,252768-47899-27930-37037-29315-37589-36980-18717,3705-3231-19665-29354-19498-24695-31200-12545,10142-2485-6929-10724-4082-27685-10604-11552,5734-1961-16322-7777-2378-8981-2813-6388,9472-2106-5230-6732-1701-8327-5719-6244,2810-611-5246-4494-1866-9632-3656-2904,3074-1073-2894-2004-2165-4912-2589-2094,easy
79093-333272-672724-167274-14855-19517-29334-3247,47899-27930-37037-29315-37589-36980-18717-4544,3231-19665-29354-19498-24695-31200-12545-11405,2485-6929-10724-4082-27685-10604-11552-3893,1961-16322-7777-2378-8981-2813-6388-1838,2106-5230-6732-1701-8327-5719-6244-911,611-5246-4494-1866-9632-3656-2904-875,1073-2894-2004-2165-4912-2589-2094-555,easy
333272-672724-167274-14855-19517-29334-3247-22960,27930-37037-29315-37589-36980-18717-4544-31362,19665-29354-19498-24695-31200-12545-11405-11312,6929-10724-4082-27685-10604-11552-3893-7670,16322-7777-2378-8981-2813-6388-1838-2169,5230-6732-1701-8327-5719-6244-911-7487,5246-4494-1866-9632-3656-2904-875-1689,2894-2004-2165-4912-2589-2094-555-6728,easy
672724-167274-14855-19517-29334-3247-22960-24861,37037-29315-37589-36980-18717-4544-31362-37901,29354-19498-24695-31200-12545-11405-11312-19171,10724-4082-27685-10604-11552-3893-7670-3469,7777-2378-8981-2813-6388-1838-2169-4351,6732-1701-8327-5719-6244-911-7487-5425,4494-1866-9632-3656-2904-875-1689-4160,2004-2165-4912-2589-2094-555-6728-3092,easy
167274-14855-19517-29334-3247-22960-24861-3139,29315-37589-36980-18717-4544-31362-37901-44733,19498-24695-31200-12545-11405-11312-19171-31833,4082-27685-10604-11552-3893-7670-3469-3889,2378-8981-2813-6388-1838-2169-4351-4020,1701-8327-5719-6244-911-7487-5425-4569,1866-9632-3656-2904-875-1689-4160-4824,2165-4912-2589-2094-555-6728-3092-1747,easy
14855-19517-29334-3247-22960-24861-3139-9799,37589-36980-18717-4544-31362-37901-44733-52195,24695-31200-12545-11405-11312-19171-31833-9886,27685-10604-11552-3893-7670-3469-3889-5773,8981-2813-6388-1838-2169-4351-4020-15145,8327-5719-6244-911-7487-5425-4569-7787,9632-3656-2904-875-1689-4160-4824-3623,4912-2589-2094-555-6728-3092-1747-3576,easy
19517-29334-3247-22960-24861-3139-9799-23527,36980-18717-4544-31362-37901-44733-52195-29932,31200-12545-11405-11312-19171-31833-9886-71601,10604-11552-3893-7670-3469-3889-5773-11353,2813-6388-1838-2169-4351-4020-15145-7191,5719-6244-911-7487-5425-4569-7787-8195,3656-2904-875-1689-4160-4824-3623-3237,2589-2094-555-6728-3092-1747-3576-3458,easy
29334-3247-22960-24861-3139-9799-23527-339875,18717-4544-31362-37901-44733-52195-29932-71754,12545-11405-11312-19171-31833-9886-71601-16795,11552-3893-7670-3469-3889-5773-11353-6119,6388-1838-2169-4351-4020-15145-7191-8176,6244-911-7487-5425-4569-7787-8195-4296,2904-875-1689-4160-4824-3623-3237-7665,2094-555-6728-3092-1747-3576-3458-4225,easy
3247-22960-24861-3139-9799-23527-339875-108496,4544-31362-37901-44733-52195-29932-71754-19019,11405-11312-19171-31833-9886-71601-16795-13619,3893-7670-3469-3889-5773-11353-6119-6060,1838-2169-4351-4020-15145-7191-8176-6594,911-7487-5425-4569-7787-8195-4296-19520,875-1689-4160-4824-3623-3237-7665-3392,555-6728-3092-1747-3576-3458-4225-1782,easy
22960-24861-3139-9799-23527-339875-108496-92488,31362-37901-44733-52195-29932-71754-19019-6352,11312-19171-31833-9886-71601-16795-13619-3441,7670-3469-3889-5773-11353-6119-6060-3613,2169-4351-4020-15145-7191-8176-6594-844,7487-5425-4569-7787-8195-4296-19520-1447,1689-4160-4824-3623-3237-7665-3392-1984,6728-3092-1747-3576-3458-4225-1782-803,easy
24861-3139-9799-23527-339875-108496-92488-32500,37901-44733-52195-29932-71754-19019-6352-4367,19171-31833-9886-71601-16795-13619-3441-1017,3469-3889-5773-11353-6119-6060-3613-4586,4351-4020-15145-7191-8176-6594-844-13801,5425-4569-7787-8195-4296-19520-1447-14571,4160-4824-3623-3237-7665-3392-1984-6332,3092-1747-3576-3458-4225-1782-803-2487,hard
3139-9799-23527-339875-108496-92488-32500-226335,44733-52195-29932-71754-19019-6352-4367-30066,31833-9886-71601-16795-13619-3441-1017-3525,3889-5773-11353-6119-6060-3613-4586-7268,4020-15145-7191-8176-6594-844-13801-5407,4569-7787-8195-4296-19520-1447-14571-6865,4824-3623-3237-7665-3392-1984-6332-7472,1747-3576-3458-4225-1782-803-2487-3040,hard
9799-23527-339875-108496-92488-32500-226335-24500,52195-29932-71754-19019-6352-4367-30066-11686,9886-71601-16795-13619-3441-1017-3525-11639,5773-11353-6119-6060-3613-4586-7268-15314,15145-7191-8176-6594-844-13801-5407-4069,7787-8195-4296-19520-1447-14571-6865-8492,3623-3237-7665-3392-1984-6332-7472-5754,3576-3458-4225-1782-803-2487-3040-2105,hard
23527-339875-108496-92488-32500-226335-24500-225409,29932-71754-19019-6352-4367-30066-11686-51591,71601-16795-13619-3441-1017-3525-11639-43118,11353-6119-6060-3613-4586-7268-15314-6487,7191-8176-6594-844-13801-5407-4069-13164,8195-4296-19520-1447-14571-6865-8492-19474,3237-7665-3392-1984-6332-7472-5754-6694,3458-4225-1782-803-2487-3040-2105-2839,hard
