delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
3840071-21489-228153-26188-2201927-2169754-72464-943985,234921-20177-24974-113966-320994-108092-24040-138273,68240-9156-5932-2809-19516-53014-7385-4963,50406-6177-3863-7838-19312-63598-3208-7530,55918-4689-1253-8148-73831-32564-3137-8273,44886-2248-3312-5839-27667-26872-2031-8170,14351-848-1025-2394-21766-33265-473-9435,8041-1230-842-4892-16803-15673-516-2651,easy
21489-228153-26188-2201927-2169754-72464-943985-183568,20177-24974-113966-320994-108092-24040-138273-16779,9156-5932-2809-19516-53014-7385-4963-2717,6177-3863-7838-19312-63598-3208-7530-1453,4689-1253-8148-73831-32564-3137-8273-724,2248-3312-5839-27667-26872-2031-8170-2169,848-1025-2394-21766-33265-473-9435-1066,1230-842-4892-16803-15673-516-2651-603,easy
228153-26188-2201927-2169754-72464-943985-183568-841295,24974-113966-320994-108092-24040-138273-16779-190411,5932-2809-19516-53014-7385-4963-2717-64565,3863-7838-19312-63598-3208-7530-1453-77455,1253-8148-73831-32564-3137-8273-724-35360,3312-5839-27667-26872-2031-8170-2169-24937,1025-2394-21766-33265-473-9435-1066-25413,842-4892-16803-15673-516-2651-603-5081,easy
26188-2201927-2169754-72464-943985-183568-841295-161398,113966-320994-108092-24040-138273-16779-190411-503418,2809-19516-53014-7385-4963-2717-64565-48963,7838-19312-63598-3208-7530-1453-77455-29932,8148-73831-32564-3137-8273-724-35360-103121,5839-27667-26872-2031-8170-2169-24937-58381,2394-21766-33265-473-9435-1066-25413-21168,4892-16803-15673-516-2651-603-5081-11549,easy
2201927-2169754-72464-943985-183568-841295-161398-1591087,320994-108092-24040-138273-16779-190411-503418-682641,19516-53014-7385-4963-2717-64565-48963-42489,19312-63598-3208-7530-1453-77455-29932-45021,73831-32564-3137-8273-724-35360-103121-16144,27667-26872-2031-8170-2169-24937-58381-30616,21766-33265-473-9435-1066-25413-21168-10991,16803-15673-516-2651-603-5081-11549-11553,easy
2169754-72464-943985-183568-841295-161398-1591087-168824,108092-24040-138273-16779-190411-503418-682641-15677,53014-7385-4963-2717-64565-48963-42489-2139,63598-3208-7530-1453-77455-29932-45021-4245,32564-3137-8273-724-35360-103121-16144-6331,26872-2031-8170-2169-24937-58381-30616-6566,33265-473-9435-1066-25413-21168-10991-1964,15673-516-2651-603-5081-11549-11553-2570,easy
72464-943985-183568-841295-161398-1591087-168824-585533,24040-138273-16779-190411-503418-682641-15677-152130,7385-4963-2717-64565-48963-42489-2139-17574,3208-7530-1453-77455-29932-45021-4245-12865,3137-8273-724-35360-103121-16144-6331-11786,2031-8170-2169-24937-58381-30616-6566-10781,473-9435-1066-25413-21168-10991-1964-13892,516-2651-603-5081-11549-11553-2570-4086,easy
943985-183568-841295-161398-1591087-168824-585533-746015,138273-16779-190411-503418-682641-15677-152130-89143,4963-2717-64565-48963-42489-2139-17574-18437,7530-1453-77455-29932-45021-4245-12865-45471,8273-724-35360-103121-16144-6331-11786-30303,8170-2169-24937-58381-30616-6566-10781-18400,9435-1066-25413-21168-10991-1964-13892-26124,2651-603-5081-11549-11553-2570-4086-14532,easy
183568-841295-161398-1591087-168824-585533-746015-1048724,16779-190411-503418-682641-15677-152130-89143-104691,2717-64565-48963-42489-2139-17574-18437-21487,1453-77455-29932-45021-4245-12865-45471-23461,724-35360-103121-16144-6331-11786-30303-9405,2169-24937-58381-30616-6566-10781-18400-27682,1066-25413-21168-10991-1964-13892-26124-12193,603-5081-11549-11553-2570-4086-14532-5073,easy
841295-161398-1591087-168824-585533-746015-1048724-537619,190411-503418-682641-15677-152130-89143-104691-160344,64565-48963-42489-2139-17574-18437-21487-22915,77455-29932-45021-4245-12865-45471-23461-4893,35360-103121-16144-6331-11786-30303-9405-25317,24937-58381-30616-6566-10781-18400-27682-13209,25413-21168-10991-1964-13892-26124-12193-12692,5081-11549-11553-2570-4086-14532-5073-11537,easy
161398-1591087-168824-585533-746015-1048724-537619-264364,503418-682641-15677-152130-89143-104691-160344-34853,48963-42489-2139-17574-18437-21487-22915-42211,29932-45021-4245-12865-45471-23461-4893-11857,103121-16144-6331-11786-30303-9405-25317-22965,58381-30616-6566-10781-18400-27682-13209-6468,21168-10991-1964-13892-26124-12193-12692-7704,11549-11553-2570-4086-14532-5073-11537-3735,easy
1591087-168824-585533-746015-1048724-537619-264364-1164687,682641-15677-152130-89143-104691-160344-34853-154049,42489-2139-17574-18437-21487-22915-42211-43650,45021-4245-12865-45471-23461-4893-11857-74881,16144-6331-11786-30303-9405-25317-22965-93406,30616-6566-10781-18400-27682-13209-6468-45742,10991-1964-13892-26124-12193-12692-7704-25080,11553-2570-4086-14532-5073-11537-3735-15933,easy
168824-585533-746015-1048724-537619-264364-1164687-344323,15677-152130-89143-104691-160344-34853-154049-588207,2139-17574-18437-21487-22915-42211-43650-66680,4245-12865-45471-23461-4893-11857-74881-36632,6331-11786-30303-9405-25317-22965-93406-34793,6566-10781-18400-27682-13209-6468-45742-45415,1964-13892-26124-12193-12692-7704-25080-27077,2570-4086-14532-5073-11537-3735-15933-28295,easy
585533-746015-1048724-537619-264364-1164687-344323-160298,152130-89143-104691-160344-34853-154049-588207-29551,17574-18437-21487-22915-42211-43650-66680-2769,12865-45471-23461-4893-11857-74881-36632-2039,11786-30303-9405-25317-22965-93406-34793-4189,10781-18400-27682-13209-6468-45742-45415-3394,13892-26124-12193-12692-7704-25080-27077-792,4086-14532-5073-11537-3735-15933-28295-1162,easy
746015-1048724-537619-264364-1164687-344323-160298-22986,89143-104691-160344-34853-154049-588207-29551-5424,18437-21487-22915-42211-43650-66680-2769-5464,45471-23461-4893-11857-74881-36632-2039-2094,30303-9405-25317-22965-93406-34793-4189-547,18400-27682-13209-6468-45742-45415-3394-977,26124-12193-12692-7704-25080-27077-792-1051,14532-5073-11537-3735-15933-28295-1162-968,easy
1048724-537619-264364-1164687-344323-160298-22986-98096,104691-160344-34853-154049-588207-29551-5424-89456,21487-22915-42211-43650-66680-2769-5464-22902,23461-4893-11857-74881-36632-2039-2094-5199,9405-25317-22965-93406-34793-4189-547-7644,27682-13209-6468-45742-45415-3394-977-5843,12193-12692-7704-25080-27077-792-1051-4545,5073-11537-3735-15933-28295-1162-968-2688,easy
537619-264364-1164687-344323-160298-22986-98096-100186,160344-34853-154049-588207-29551-5424-89456-23384,22915-42211-43650-66680-2769-5464-22902-1674,4893-11857-74881-36632-2039-2094-5199-2160,25317-22965-93406-34793-4189-547-7644-2602,13209-6468-45742-45415-3394-977-5843-1647,12692-7704-25080-27077-792-1051-4545-703,11537-3735-15933-28295-1162-968-2688-1037,easy
264364-1164687-344323-160298-22986-98096-100186-81335,34853-154049-588207-29551-5424-89456-23384-22952,42211-43650-66680-2769-5464-22902-1674-7202,11857-74881-36632-2039-2094-5199-2160-5402,22965-93406-34793-4189-547-7644-2602-2887,6468-45742-45415-3394-977-5843-1647-3818,7704-25080-27077-792-1051-4545-703-984,3735-15933-28295-1162-968-2688-1037-1331,easy
1164687-344323-160298-22986-98096-100186-81335-54915,154049-588207-29551-5424-89456-23384-22952-42466,43650-66680-2769-5464-22902-1674-7202-29127,74881-36632-2039-2094-5199-2160-5402-5977,93406-34793-4189-547-7644-2602-2887-5484,45742-45415-3394-977-5843-1647-3818-6853,25080-27077-792-1051-4545-703-984-1472,15933-28295-1162-968-2688-1037-1331-539,easy
344323-160298-22986-98096-100186-81335-54915-831340,588207-29551-5424-89456-23384-22952-42466-187112,66680-2769-5464-22902-1674-7202-29127-32740,36632-2039-2094-5199-2160-5402-5977-13681,34793-4189-547-7644-2602-2887-5484-7194,45415-3394-977-5843-1647-3818-6853-9058,27077-792-1051-4545-703-984-1472-4499,28295-1162-968-2688-1037-1331-539-2229,easy
160298-22986-98096-100186-81335-54915-831340-162948,29551-5424-89456-23384-22952-42466-187112-10028,2769-5464-22902-1674-7202-29127-32740-9295,2039-2094-5199-2160-5402-5977-13681-3114,4189-547-7644-2602-2887-5484-7194-945,3394-977-5843-1647-3818-6853-9058-2596,792-1051-4545-703-984-1472-4499-2169,1162-968-2688-1037-1331-539-2229-1288,easy
22986-98096-100186-81335-54915-831340-162948-418827,5424-89456-23384-22952-42466-187112-10028-62287,5464-22902-1674-7202-29127-32740-9295-2522,2094-5199-2160-5402-5977-13681-3114-21407,547-7644-2602-2887-5484-7194-945-9251,977-5843-1647-3818-6853-9058-2596-9490,1051-4545-703-984-1472-4499-2169-1754,968-2688-1037-1331-539-2229-1288-2197,easy
98096-100186-81335-54915-831340-162948-418827-43380,89456-23384-22952-42466-187112-10028-62287-25124,22902-1674-7202-29127-32740-9295-2522-4470,5199-2160-5402-5977-13681-3114-21407-1084,7644-2602-2887-5484-7194-945-9251-878,5843-1647-3818-6853-9058-2596-9490-1296,4545-703-984-1472-4499-2169-1754-451,2688-1037-1331-539-2229-1288-2197-365,easy
100186-81335-54915-831340-162948-418827-43380-100033,23384-22952-42466-187112-10028-62287-25124-62378,1674-7202-29127-32740-9295-2522-4470-7317,2160-5402-5977-13681-3114-21407-1084-14536,2602-2887-5484-7194-945-9251-878-9550,1647-3818-6853-9058-2596-9490-1296-9993,703-984-1472-4499-2169-1754-451-11633,1037-1331-539-2229-1288-2197-365-5530,easy
81335-54915-831340-162948-418827-43380-100033-790324,22952-42466-187112-10028-62287-25124-62378-384884,7202-29127-32740-9295-2522-4470-7317-130749,5402-5977-13681-3114-21407-1084-14536-37044,2887-5484-7194-945-9251-878-9550-55315,3818-6853-9058-2596-9490-1296-9993-27597,984-1472-4499-2169-1754-451-11633-6667,1331-539-2229-1288-2197-365-5530-3609,easy
54915-831340-162948-418827-43380-100033-790324-13628,42466-187112-10028-62287-25124-62378-384884-8006,29127-32740-9295-2522-4470-7317-130749-964,5977-13681-3114-21407-1084-14536-37044-5398,5484-7194-945-9251-878-9550-55315-1463,6853-9058-2596-9490-1296-9993-27597-5439,1472-4499-2169-1754-451-11633-6667-1244,539-2229-1288-2197-365-5530-3609-2117,easy
831340-162948-418827-43380-100033-790324-13628-107921,187112-10028-62287-25124-62378-384884-8006-17733,32740-9295-2522-4470-7317-130749-964-3956,13681-3114-21407-1084-14536-37044-5398-5989,7194-945-9251-878-9550-55315-1463-2007,9058-2596-9490-1296-9993-27597-5439-1068,4499-2169-1754-451-11633-6667-1244-284,2229-1288-2197-365-5530-3609-2117-221,easy
162948-418827-43380-100033-790324-13628-107921-108570,10028-62287-25124-62378-384884-8006-17733-17658,9295-2522-4470-7317-130749-964-3956-14877,3114-21407-1084-14536-37044-5398-5989-9417,945-9251-878-9550-55315-1463-2007-2884,2596-9490-1296-9993-27597-5439-1068-9489,2169-1754-451-11633-6667-1244-284-1134,1288-2197-365-5530-3609-2117-221-1038,easy
418827-43380-100033-790324-13628-107921-108570-57427,62287-25124-62378-384884-8006-17733-17658-70837,2522-4470-7317-130749-964-3956-14877-16231,21407-1084-14536-37044-5398-5989-9417-9372,9251-878-9550-55315-1463-2007-2884-6352,9490-1296-9993-27597-5439-1068-9489-20727,1754-451-11633-6667-1244-284-1134-7328,2197-365-5530-3609-2117-221-1038-7766,easy
43380-100033-790324-13628-107921-108570-57427-120397,25124-62378-384884-8006-17733-17658-70837-117742,4470-7317-130749-964-3956-14877-16231-6524,1084-14536-37044-5398-5989-9417-9372-7044,878-9550-55315-1463-2007-2884-6352-11323,1296-9993-27597-5439-1068-9489-20727-3208,451-11633-6667-1244-284-1134-7328-3846,365-5530-3609-2117-221-1038-7766-2049,easy
100033-790324-13628-107921-108570-57427-120397-123256,62378-384884-8006-17733-17658-70837-117742-72738,7317-130749-964-3956-14877-16231-6524-20353,14536-37044-5398-5989-9417-9372-7044-6947,9550-55315-1463-2007-2884-6352-11323-5710,9993-27597-5439-1068-9489-20727-3208-2874,11633-6667-1244-284-1134-7328-3846-6464,5530-3609-2117-221-1038-7766-2049-1853,easy
790324-13628-107921-108570-57427-120397-123256-415950,384884-8006-17733-17658-70837-117742-72738-14699,130749-964-3956-14877-16231-6524-20353-9523,37044-5398-5989-9417-9372-7044-6947-24255,55315-1463-2007-2884-6352-11323-5710-7648,27597-5439-1068-9489-20727-3208-2874-18792,6667-1244-284-1134-7328-3846-6464-7884,3609-2117-221-1038-7766-2049-1853-4359,easy
13628-107921-108570-57427-120397-123256-415950-43322,8006-17733-17658-70837-117742-72738-14699-5850,964-3956-14877-16231-6524-20353-9523-1769,5398-5989-9417-9372-7044-6947-24255-496,1463-2007-2884-6352-11323-5710-7648-4203,5439-1068-9489-20727-3208-2874-18792-678,1244-284-1134-7328-3846-6464-7884-237,2117-221-1038-7766-2049-1853-4359-378,easy
107921-108570-57427-120397-123256-415950-43322-235471,17733-17658-70837-117742-72738-14699-5850-96358,3956-14877-16231-6524-20353-9523-1769-11761,5989-9417-9372-7044-6947-24255-496-1640,2007-2884-6352-11323-5710-7648-4203-9027,1068-9489-20727-3208-2874-18792-678-9201,284-1134-7328-3846-6464-7884-237-2541,221-1038-7766-2049-1853-4359-378-611,easy
108570-57427-120397-123256-415950-43322-235471-31828,17658-70837-117742-72738-14699-5850-96358-8497,14877-16231-6524-20353-9523-1769-11761-5382,9417-9372-7044-6947-24255-496-1640-5104,2884-6352-11323-5710-7648-4203-9027-1896,9489-20727-3208-2874-18792-678-9201-3765,1134-7328-3846-6464-7884-237-2541-3316,1038-7766-2049-1853-4359-378-611-1593,easy
57427-120397-123256-415950-43322-235471-31828-102329,70837-117742-72738-14699-5850-96358-8497-18473,16231-6524-20353-9523-1769-11761-5382-7708,9372-7044-6947-24255-496-1640-5104-11373,6352-11323-5710-7648-4203-9027-1896-10027,20727-3208-2874-18792-678-9201-3765-6680,7328-3846-6464-7884-237-2541-3316-1910,7766-2049-1853-4359-378-611-1593-1967,easy
120397-123256-415950-43322-235471-31828-102329-575898,117742-72738-14699-5850-96358-8497-18473-427256,6524-20353-9523-1769-11761-5382-7708-14521,7044-6947-24255-496-1640-5104-11373-58825,11323-5710-7648-4203-9027-1896-10027-23325,3208-2874-18792-678-9201-3765-6680-30764,3846-6464-7884-237-2541-3316-1910-16852,2049-1853-4359-378-611-1593-1967-11968,easy
123256-415950-43322-235471-31828-102329-575898-32470,72738-14699-5850-96358-8497-18473-427256-64082,20353-9523-1769-11761-5382-7708-14521-28198,6947-24255-496-1640-5104-11373-58825-35440,5710-7648-4203-9027-1896-10027-23325-3165,2874-18792-678-9201-3765-6680-30764-12568,6464-7884-237-2541-3316-1910-16852-5809,1853-4359-378-611-1593-1967-11968-4476,easy
415950-43322-235471-31828-102329-575898-32470-136707,14699-5850-96358-8497-18473-427256-64082-16489,9523-1769-11761-5382-7708-14521-28198-3386,24255-496-1640-5104-11373-58825-35440-1673,7648-4203-9027-1896-10027-23325-3165-5152,18792-678-9201-3765-6680-30764-12568-3726,7884-237-2541-3316-1910-16852-5809-1389,4359-378-611-1593-1967-11968-4476-768,easy
43322-235471-31828-102329-575898-32470-136707-526821,5850-96358-8497-18473-427256-64082-16489-23657,1769-11761-5382-7708-14521-28198-3386-11754,496-1640-5104-11373-58825-35440-1673-10339,4203-9027-1896-10027-23325-3165-5152-3387,678-9201-3765-6680-30764-12568-3726-3197,237-2541-3316-1910-16852-5809-1389-2525,378-611-1593-1967-11968-4476-768-982,easy
235471-31828-102329-575898-32470-136707-526821-766936,96358-8497-18473-427256-64082-16489-23657-350083,11761-5382-7708-14521-28198-3386-11754-33816,1640-5104-11373-58825-35440-1673-10339-30297,9027-1896-10027-23325-3165-5152-3387-17331,9201-3765-6680-30764-12568-3726-3197-9067,2541-3316-1910-16852-5809-1389-2525-4225,611-1593-1967-11968-4476-768-982-6400,easy
31828-102329-575898-32470-136707-526821-766936-47893,8497-18473-427256-64082-16489-23657-350083-16763,5382-7708-14521-28198-3386-11754-33816-663,5104-11373-58825-35440-1673-10339-30297-1830,1896-10027-23325-3165-5152-3387-17331-4399,3765-6680-30764-12568-3726-3197-9067-2011,3316-1910-16852-5809-1389-2525-4225-2047,1593-1967-11968-4476-768-982-6400-883,easy
102329-575898-32470-136707-526821-766936-47893-1471162,18473-427256-64082-16489-23657-350083-16763-198986,7708-14521-28198-3386-11754-33816-663-48172,11373-58825-35440-1673-10339-30297-1830-35318,10027-23325-3165-5152-3387-17331-4399-15742,6680-30764-12568-3726-3197-9067-2011-14846,1910-16852-5809-1389-2525-4225-2047-6836,1967-11968-4476-768-982-6400-883-7068,easy
575898-32470-136707-526821-766936-47893-1471162-161292,427256-64082-16489-23657-350083-16763-198986-26074,14521-28198-3386-11754-33816-663-48172-4403,58825-35440-1673-10339-30297-1830-35318-816,23325-3165-5152-3387-17331-4399-15742-1403,30764-12568-3726-3197-9067-2011-14846-3789,16852-5809-1389-2525-4225-2047-6836-1077,11968-4476-768-982-6400-883-7068-1724,easy
32470-136707-526821-766936-47893-1471162-161292-18969,64082-16489-23657-350083-16763-198986-26074-15220,28198-3386-11754-33816-663-48172-4403-3832,35440-1673-10339-30297-1830-35318-816-6832,3165-5152-3387-17331-4399-15742-1403-3219,12568-3726-3197-9067-2011-14846-3789-5605,5809-1389-2525-4225-2047-6836-1077-2692,4476-768-982-6400-883-7068-1724-1949,easy
136707-526821-766936-47893-1471162-161292-18969-273178,16489-23657-350083-16763-198986-26074-15220-55580,3386-11754-33816-663-48172-4403-3832-6419,1673-10339-30297-1830-35318-816-6832-5181,5152-3387-17331-4399-15742-1403-3219-4069,3726-3197-9067-2011-14846-3789-5605-4524,1389-2525-4225-2047-6836-1077-2692-7750,768-982-6400-883-7068-1724-1949-1369,easy
526821-766936-47893-1471162-161292-18969-273178-15874,23657-350083-16763-198986-26074-15220-55580-69504,11754-33816-663-48172-4403-3832-6419-1668,10339-30297-1830-35318-816-6832-5181-3604,3387-17331-4399-15742-1403-3219-4069-12405,3197-9067-2011-14846-3789-5605-4524-7485,2525-4225-2047-6836-1077-2692-7750-11874,982-6400-883-7068-1724-1949-1369-3574,easy
766936-47893-1471162-161292-18969-273178-15874-973004,350083-16763-198986-26074-15220-55580-69504-81617,33816-663-48172-4403-3832-6419-1668-152407,30297-1830-35318-816-6832-5181-3604-84076,17331-4399-15742-1403-3219-4069-12405-25450,9067-2011-14846-3789-5605-4524-7485-18080,4225-2047-6836-1077-2692-7750-11874-18086,6400-883-7068-1724-1949-1369-3574-3806,easy
47893-1471162-161292-18969-273178-15874-973004-102156,16763-198986-26074-15220-55580-69504-81617-28576,663-48172-4403-3832-6419-1668-152407-1148,1830-35318-816-6832-5181-3604-84076-2643,4399-15742-1403-3219-4069-12405-25450-1716,2011-14846-3789-5605-4524-7485-18080-519,2047-6836-1077-2692-7750-11874-18086-460,883-7068-1724-1949-1369-3574-3806-422,easy
1471162-161292-18969-273178-15874-973004-102156-36913,198986-26074-15220-55580-69504-81617-28576-6402,48172-4403-3832-6419-1668-152407-1148-4556,35318-816-6832-5181-3604-84076-2643-1459,15742-1403-3219-4069-12405-25450-1716-6408,14846-3789-5605-4524-7485-18080-519-1990,6836-1077-2692-7750-11874-18086-460-2140,7068-1724-1949-1369-3574-3806-422-954,easy
161292-18969-273178-15874-973004-102156-36913-76807,26074-15220-55580-69504-81617-28576-6402-11879,4403-3832-6419-1668-152407-1148-4556-8513,816-6832-5181-3604-84076-2643-1459-1344,1403-3219-4069-12405-25450-1716-6408-1370,3789-5605-4524-7485-18080-519-1990-684,1077-2692-7750-11874-18086-460-2140-499,1724-1949-1369-3574-3806-422-954-344,easy
18969-273178-15874-973004-102156-36913-76807-183966,15220-55580-69504-81617-28576-6402-11879-41518,3832-6419-1668-152407-1148-4556-8513-6481,6832-5181-3604-84076-2643-1459-1344-3812,3219-4069-12405-25450-1716-6408-1370-1421,5605-4524-7485-18080-519-1990-684-3635,2692-7750-11874-18086-460-2140-499-749,1949-1369-3574-3806-422-954-344-1052,easy
273178-15874-973004-102156-36913-76807-183966-99941,55580-69504-81617-28576-6402-11879-41518-11478,6419-1668-152407-1148-4556-8513-6481-17053,5181-3604-84076-2643-1459-1344-3812-2377,4069-12405-25450-1716-6408-1370-1421-7419,4524-7485-18080-519-1990-684-3635-8398,7750-11874-18086-460-2140-499-749-7377,1369-3574-3806-422-954-344-1052-4615,easy
15874-973004-102156-36913-76807-183966-99941-117297,69504-81617-28576-6402-11879-41518-11478-70660,1668-152407-1148-4556-8513-6481-17053-11206,3604-84076-2643-1459-1344-3812-2377-3376,12405-25450-1716-6408-1370-1421-7419-6954,7485-18080-519-1990-684-3635-8398-3267,11874-18086-460-2140-499-749-7377-2605,3574-3806-422-954-344-1052-4615-1060,easy
