delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
167500-1137877-480792-136555-492417-276936-1744642-959909,75240-59080-56496-99766-265370-36948-123574-41716,6884-15721-39516-22592-11002-21268-69068-610,5667-10932-11845-21077-11022-18308-25810-13076,7944-5260-11405-16815-38108-5380-24837-9346,18758-14726-10025-28748-88585-9171-39796-11139,8573-9622-3908-25772-29481-6438-30925-6763,3611-7047-3228-20566-14678-6513-33124-4947,easy
1137877-480792-136555-492417-276936-1744642-959909-854284,59080-56496-99766-265370-36948-123574-41716-208139,15721-39516-22592-11002-21268-69068-610-4635,10932-11845-21077-11022-18308-25810-13076-11366,5260-11405-16815-38108-5380-24837-9346-8375,14726-10025-28748-88585-9171-39796-11139-8600,9622-3908-25772-29481-6438-30925-6763-7310,7047-3228-20566-14678-6513-33124-4947-3715,easy
480792-136555-492417-276936-1744642-959909-854284-2099014,56496-99766-265370-36948-123574-41716-208139-44111,39516-22592-11002-21268-69068-610-4635-41383,11845-21077-11022-18308-25810-13076-11366-26360,11405-16815-38108-5380-24837-9346-8375-5720,10025-28748-88585-9171-39796-11139-8600-10203,3908-25772-29481-6438-30925-6763-7310-6527,3228-20566-14678-6513-33124-4947-3715-6905,easy
136555-492417-276936-1744642-959909-854284-2099014-1015920,99766-265370-36948-123574-41716-208139-44111-31492,22592-11002-21268-69068-610-4635-41383-651,21077-11022-18308-25810-13076-11366-26360-4181,16815-38108-5380-24837-9346-8375-5720-4270,28748-88585-9171-39796-11139-8600-10203-8207,25772-29481-6438-30925-6763-7310-6527-9242,20566-14678-6513-33124-4947-3715-6905-3039,easy
492417-276936-1744642-959909-854284-2099014-1015920-817311,265370-36948-123574-41716-208139-44111-31492-718900,11002-21268-69068-610-4635-41383-651-28689,11022-18308-25810-13076-11366-26360-4181-45995,38108-5380-24837-9346-8375-5720-4270-36244,88585-9171-39796-11139-8600-10203-8207-42200,29481-6438-30925-6763-7310-6527-9242-32426,14678-6513-33124-4947-3715-6905-3039-19931,easy
276936-1744642-959909-854284-2099014-1015920-817311-946715,36948-123574-41716-208139-44111-31492-718900-568784,21268-69068-610-4635-41383-651-28689-49264,18308-25810-13076-11366-26360-4181-45995-78013,5380-24837-9346-8375-5720-4270-36244-182596,9171-39796-11139-8600-10203-8207-42200-178305,6438-30925-6763-7310-6527-9242-32426-45723,6513-33124-4947-3715-6905-3039-19931-18582,easy
1744642-959909-854284-2099014-1015920-817311-946715-1817059,123574-41716-208139-44111-31492-718900-568784-857510,69068-610-4635-41383-651-28689-49264-299087,25810-13076-11366-26360-4181-45995-78013-77461,24837-9346-8375-5720-4270-36244-182596-256548,39796-11139-8600-10203-8207-42200-178305-167786,30925-6763-7310-6527-9242-32426-45723-66291,33124-4947-3715-6905-3039-19931-18582-23800,easy
959909-854284-2099014-1015920-817311-946715-1817059-295153,41716-208139-44111-31492-718900-568784-857510-396353,610-4635-41383-651-28689-49264-299087-104344,13076-11366-26360-4181-45995-78013-77461-105613,9346-8375-5720-4270-36244-182596-256548-58400,11139-8600-10203-8207-42200-178305-167786-113164,6763-7310-6527-9242-32426-45723-66291-78454,4947-3715-6905-3039-19931-18582-23800-95981,easy
624565-1836162-1345966-713555-166051-567450-1032772-624239,113603-201141-1216429-136175-15395-38567-84297-40370,29602-78812-21583-87552-414-40840-122339-37099,5259-29161-81570-13589-3093-10957-21366-28227,7587-87591-132322-23756-2899-10108-26899-21412,10379-18323-72405-31100-1268-3205-37896-36886,15227-15692-33693-14610-618-2479-7910-5555,3278-6619-26403-10786-416-879-3887-5546,easy
1836162-1345966-713555-166051-567450-1032772-624239-396166,201141-1216429-136175-15395-38567-84297-40370-74678,78812-21583-87552-414-40840-122339-37099-31584,29161-81570-13589-3093-10957-21366-28227-39675,87591-132322-23756-2899-10108-26899-21412-8844,18323-72405-31100-1268-3205-37896-36886-29820,15692-33693-14610-618-2479-7910-5555-11190,6619-26403-10786-416-879-3887-5546-4248,easy
1345966-713555-166051-567450-1032772-624239-396166-1818016,1216429-136175-15395-38567-84297-40370-74678-41783,21583-87552-414-40840-122339-37099-31584-87051,81570-13589-3093-10957-21366-28227-39675-22194,132322-23756-2899-10108-26899-21412-8844-21478,72405-31100-1268-3205-37896-36886-29820-27140,33693-14610-618-2479-7910-5555-11190-22475,26403-10786-416-879-3887-5546-4248-8693,easy
713555-166051-567450-1032772-624239-396166-1818016-1159137,136175-15395-38567-84297-40370-74678-41783-238953,87552-414-40840-122339-37099-31584-87051-35119,13589-3093-10957-21366-28227-39675-22194-83776,23756-2899-10108-26899-21412-8844-21478-95760,31100-1268-3205-37896-36886-29820-27140-38473,14610-618-2479-7910-5555-11190-22475-12264,10786-416-879-3887-5546-4248-8693-6413,easy
166051-567450-1032772-624239-396166-1818016-1159137-1530633,15395-38567-84297-40370-74678-41783-238953-51368,414-40840-122339-37099-31584-87051-35119-18466,3093-10957-21366-28227-39675-22194-83776-34307,2899-10108-26899-21412-8844-21478-95760-21852,1268-3205-37896-36886-29820-27140-38473-14974,618-2479-7910-5555-11190-22475-12264-11690,416-879-3887-5546-4248-8693-6413-11186,easy
567450-1032772-624239-396166-1818016-1159137-1530633-318421,38567-84297-40370-74678-41783-238953-51368-56425,40840-122339-37099-31584-87051-35119-18466-5507,10957-21366-28227-39675-22194-83776-34307-7923,10108-26899-21412-8844-21478-95760-21852-5045,3205-37896-36886-29820-27140-38473-14974-5055,2479-7910-5555-11190-22475-12264-11690-1275,879-3887-5546-4248-8693-6413-11186-1233,easy
1032772-624239-396166-1818016-1159137-1530633-318421-2080700,84297-40370-74678-41783-238953-51368-56425-143683,122339-37099-31584-87051-35119-18466-5507-102186,21366-28227-39675-22194-83776-34307-7923-23807,26899-21412-8844-21478-95760-21852-5045-21269,37896-36886-29820-27140-38473-14974-5055-22249,7910-5555-11190-22475-12264-11690-1275-11982,3887-5546-4248-8693-6413-11186-1233-9849,easy
624239-396166-1818016-1159137-1530633-318421-2080700-1010392,40370-74678-41783-238953-51368-56425-143683-938614,37099-31584-87051-35119-18466-5507-102186-199585,28227-39675-22194-83776-34307-7923-23807-38041,21412-8844-21478-95760-21852-5045-21269-26929,36886-29820-27140-38473-14974-5055-22249-61545,5555-11190-22475-12264-11690-1275-11982-42714,5546-4248-8693-6413-11186-1233-9849-21496,easy
396166-1818016-1159137-1530633-318421-2080700-1010392-428007,74678-41783-238953-51368-56425-143683-938614-296736,31584-87051-35119-18466-5507-102186-199585-26969,39675-22194-83776-34307-7923-23807-38041-45998,8844-21478-95760-21852-5045-21269-26929-20861,29820-27140-38473-14974-5055-22249-61545-15867,11190-22475-12264-11690-1275-11982-42714-26759,4248-8693-6413-11186-1233-9849-21496-12101,easy
1818016-1159137-1530633-318421-2080700-1010392-428007-1647769,41783-238953-51368-56425-143683-938614-296736-434530,87051-35119-18466-5507-102186-199585-26969-46131,22194-83776-34307-7923-23807-38041-45998-18994,21478-95760-21852-5045-21269-26929-20861-24408,27140-38473-14974-5055-22249-61545-15867-31652,22475-12264-11690-1275-11982-42714-26759-12438,8693-6413-11186-1233-9849-21496-12101-12188,easy
1159137-1530633-318421-2080700-1010392-428007-1647769-684942,238953-51368-56425-143683-938614-296736-434530-33269,35119-18466-5507-102186-199585-26969-46131-7215,83776-34307-7923-23807-38041-45998-18994-8918,95760-21852-5045-21269-26929-20861-24408-12312,38473-14974-5055-22249-61545-15867-31652-4231,12264-11690-1275-11982-42714-26759-12438-9756,6413-11186-1233-9849-21496-12101-12188-2562,easy
1530633-318421-2080700-1010392-428007-1647769-684942-82469,51368-56425-143683-938614-296736-434530-33269-4964,18466-5507-102186-199585-26969-46131-7215-4003,34307-7923-23807-38041-45998-18994-8918-3247,21852-5045-21269-26929-20861-24408-12312-4868,14974-5055-22249-61545-15867-31652-4231-1641,11690-1275-11982-42714-26759-12438-9756-1695,11186-1233-9849-21496-12101-12188-2562-2301,easy
318421-2080700-1010392-428007-1647769-684942-82469-129411,56425-143683-938614-296736-434530-33269-4964-20888,5507-102186-199585-26969-46131-7215-4003-3949,7923-23807-38041-45998-18994-8918-3247-5126,5045-21269-26929-20861-24408-12312-4868-6759,5055-22249-61545-15867-31652-4231-1641-1990,1275-11982-42714-26759-12438-9756-1695-1540,1233-9849-21496-12101-12188-2562-2301-1120,easy
2080700-1010392-428007-1647769-684942-82469-129411-475417,143683-938614-296736-434530-33269-4964-20888-44969,102186-199585-26969-46131-7215-4003-3949-21364,23807-38041-45998-18994-8918-3247-5126-101707,21269-26929-20861-24408-12312-4868-6759-22904,22249-61545-15867-31652-4231-1641-1990-17845,11982-42714-26759-12438-9756-1695-1540-15932,9849-21496-12101-12188-2562-2301-1120-8004,easy
1010392-428007-1647769-684942-82469-129411-475417-240184,938614-296736-434530-33269-4964-20888-44969-217110,199585-26969-46131-7215-4003-3949-21364-62212,38041-45998-18994-8918-3247-5126-101707-13389,26929-20861-24408-12312-4868-6759-22904-8359,61545-15867-31652-4231-1641-1990-17845-18042,42714-26759-12438-9756-1695-1540-15932-7693,21496-12101-12188-2562-2301-1120-8004-8774,easy
428007-1647769-684942-82469-129411-475417-240184-267990,296736-434530-33269-4964-20888-44969-217110-102478,26969-46131-7215-4003-3949-21364-62212-39169,45998-18994-8918-3247-5126-101707-13389-11479,20861-24408-12312-4868-6759-22904-8359-10692,15867-31652-4231-1641-1990-17845-18042-25623,26759-12438-9756-1695-1540-15932-7693-6710,12101-12188-2562-2301-1120-8004-8774-6027,easy
1647769-684942-82469-129411-475417-240184-267990-1220108,434530-33269-4964-20888-44969-217110-102478-135755,46131-7215-4003-3949-21364-62212-39169-47918,18994-8918-3247-5126-101707-13389-11479-12778,24408-12312-4868-6759-22904-8359-10692-10397,31652-4231-1641-1990-17845-18042-25623-10638,12438-9756-1695-1540-15932-7693-6710-8796,12188-2562-2301-1120-8004-8774-6027-8347,easy
684942-82469-129411-475417-240184-267990-1220108-501065,33269-4964-20888-44969-217110-102478-135755-116713,7215-4003-3949-21364-62212-39169-47918-12359,8918-3247-5126-101707-13389-11479-12778-12940,12312-4868-6759-22904-8359-10692-10397-9094,4231-1641-1990-17845-18042-25623-10638-4177,9756-1695-1540-15932-7693-6710-8796-1865,2562-2301-1120-8004-8774-6027-8347-2463,easy
82469-129411-475417-240184-267990-1220108-501065-220230,4964-20888-44969-217110-102478-135755-116713-127720,4003-3949-21364-62212-39169-47918-12359-58435,3247-5126-101707-13389-11479-12778-12940-29822,4868-6759-22904-8359-10692-10397-9094-30930,1641-1990-17845-18042-25623-10638-4177-11244,1695-1540-15932-7693-6710-8796-1865-14428,2301-1120-8004-8774-6027-8347-2463-10826,easy
129411-475417-240184-267990-1220108-501065-220230-552212,20888-44969-217110-102478-135755-116713-127720-206389,3949-21364-62212-39169-47918-12359-58435-20138,5126-101707-13389-11479-12778-12940-29822-29463,6759-22904-8359-10692-10397-9094-30930-7089,1990-17845-18042-25623-10638-4177-11244-10989,1540-15932-7693-6710-8796-1865-14428-12849,1120-8004-8774-6027-8347-2463-10826-8539,easy
475417-240184-267990-1220108-501065-220230-552212-389190,44969-217110-102478-135755-116713-127720-206389-55782,21364-62212-39169-47918-12359-58435-20138-9540,101707-13389-11479-12778-12940-29822-29463-8038,22904-8359-10692-10397-9094-30930-7089-4619,17845-18042-25623-10638-4177-11244-10989-6894,15932-7693-6710-8796-1865-14428-12849-1267,8004-8774-6027-8347-2463-10826-8539-997,easy
240184-267990-1220108-501065-220230-552212-389190-1184578,217110-102478-135755-116713-127720-206389-55782-248049,62212-39169-47918-12359-58435-20138-9540-6655,13389-11479-12778-12940-29822-29463-8038-43113,8359-10692-10397-9094-30930-7089-4619-17888,18042-25623-10638-4177-11244-10989-6894-21568,7693-6710-8796-1865-14428-12849-1267-17877,8774-6027-8347-2463-10826-8539-997-9132,easy
267990-1220108-501065-220230-552212-389190-1184578-840927,102478-135755-116713-127720-206389-55782-248049-28028,39169-47918-12359-58435-20138-9540-6655-4809,11479-12778-12940-29822-29463-8038-43113-2832,10692-10397-9094-30930-7089-4619-17888-3257,25623-10638-4177-11244-10989-6894-21568-3708,6710-8796-1865-14428-12849-1267-17877-2988,6027-8347-2463-10826-8539-997-9132-1694,easy
1220108-501065-220230-552212-389190-1184578-840927-474682,135755-116713-127720-206389-55782-248049-28028-51846,47918-12359-58435-20138-9540-6655-4809-54258,12778-12940-29822-29463-8038-43113-2832-25738,10397-9094-30930-7089-4619-17888-3257-16831,10638-4177-11244-10989-6894-21568-3708-10429,8796-1865-14428-12849-1267-17877-2988-10628,8347-2463-10826-8539-997-9132-1694-7214,easy
501065-220230-552212-389190-1184578-840927-474682-183978,116713-127720-206389-55782-248049-28028-51846-31209,12359-58435-20138-9540-6655-4809-54258-6427,12940-29822-29463-8038-43113-2832-25738-1225,9094-30930-7089-4619-17888-3257-16831-868,4177-11244-10989-6894-21568-3708-10429-1558,1865-14428-12849-1267-17877-2988-10628-396,2463-10826-8539-997-9132-1694-7214-206,easy
220230-552212-389190-1184578-840927-474682-183978-1255204,127720-206389-55782-248049-28028-51846-31209-30371,58435-20138-9540-6655-4809-54258-6427-12325,29822-29463-8038-43113-2832-25738-1225-25881,30930-7089-4619-17888-3257-16831-868-36462,11244-10989-6894-21568-3708-10429-1558-21531,14428-12849-1267-17877-2988-10628-396-4395,10826-8539-997-9132-1694-7214-206-9597,easy
552212-389190-1184578-840927-474682-183978-1255204-1693040,206389-55782-248049-28028-51846-31209-30371-96534,20138-9540-6655-4809-54258-6427-12325-13603,29463-8038-43113-2832-25738-1225-25881-37470,7089-4619-17888-3257-16831-868-36462-11756,10989-6894-21568-3708-10429-1558-21531-9609,12849-1267-17877-2988-10628-396-4395-14324,8539-997-9132-1694-7214-206-9597-8785,easy
389190-1184578-840927-474682-183978-1255204-1693040-607561,55782-248049-28028-51846-31209-30371-96534-57879,9540-6655-4809-54258-6427-12325-13603-18908,8038-43113-2832-25738-1225-25881-37470-6258,4619-17888-3257-16831-868-36462-11756-28625,6894-21568-3708-10429-1558-21531-9609-13791,1267-17877-2988-10628-396-4395-14324-6846,997-9132-1694-7214-206-9597-8785-3918,easy
1184578-840927-474682-183978-1255204-1693040-607561-642616,248049-28028-51846-31209-30371-96534-57879-60364,6655-4809-54258-6427-12325-13603-18908-50683,43113-2832-25738-1225-25881-37470-6258-28493,17888-3257-16831-868-36462-11756-28625-13282,21568-3708-10429-1558-21531-9609-13791-17949,17877-2988-10628-396-4395-14324-6846-16796,9132-1694-7214-206-9597-8785-3918-12164,easy
840927-474682-183978-1255204-1693040-607561-642616-2005918,28028-51846-31209-30371-96534-57879-60364-30918,4809-54258-6427-12325-13603-18908-50683-43621,2832-25738-1225-25881-37470-6258-28493-34588,3257-16831-868-36462-11756-28625-13282-23887,3708-10429-1558-21531-9609-13791-17949-10117,2988-10628-396-4395-14324-6846-16796-22364,1694-7214-206-9597-8785-3918-12164-6302,easy
