delta_c1,delta_c2,delta_c3,delta_c4,delta_c5,delta_c6,delta_c7,delta_c8,theta_c1,theta_c2,theta_c3,theta_c4,theta_c5,theta_c6,theta_c7,theta_c8,lowalpha_c1,lowalpha_c2,lowalpha_c3,lowalpha_c4,lowalpha_c5,lowalpha_c6,lowalpha_c7,lowalpha_c8,highalpha_c1,highalpha_c2,highalpha_c3,highalpha_c4,highalpha_c5,highalpha_c6,highalpha_c7,highalpha_c8,lowbeta_c1,lowbeta_c2,lowbeta_c3,lowbeta_c4,lowbeta_c5,lowbeta_c6,lowbeta_c7,lowbeta_c8,highbeta_c1,highbeta_c2,highbeta_c3,highbeta_c4,highbeta_c5,highbeta_c6,highbeta_c7,highbeta_c8,lowgamma_c1,lowgamma_c2,lowgamma_c3,lowgamma_c4,lowgamma_c5,lowgamma_c6,lowgamma_c7,lowgamma_c8,midgamma_c1,midgamma_c2,midgamma_c3,midgamma_c4,midgamma_c5,midgamma_c6,midgamma_c7,midgamma_c8,state,answer
-438808.4418,-459492.4418,-393439.4418,-374885.4418,1206336.558,480968.5582,-382150.4418,2034914.558,-97935.088,-100002.088,-94533.088,-69614.088,1149892.912,668981.912,-50162.088,584555.912,-19133.15777,-20014.15777,-20197.15777,-17075.15777,37922.84223,88473.84223,-22897.15777,29271.84223,-18801.03201,-17556.03201,-14664.03201,-12727.03201,72339.96799,16726.96799,-19439.03201,18920.96799,-12115.60134,-14096.60134,-13107.60134,-7675.60134,100506.3987,21126.39866,-14619.60134,35560.39866,-16149.72334,-15698.72334,-14670.72334,-7209.72334,157866.2767,22890.27666,-15015.72334,34222.27666,-12172.10835,-12092.10835,-11460.10835,-2219.10835,91744.89165,-4787.10835,-12264.10835,11634.89165,-7610.126424,-7573.126424,-5994.126424,-3335.126424,38645.87358,20221.87358,-7234.126424,19640.87358,difficult,yes
-396324.4418,-186277.4418,-360810.4418,1685577.558,-227797.4418,86531.5582,90346.5582,-449862.4418,-72479.088,813.912,-37023.088,335342.912,-100119.088,-85980.088,-84349.088,-77674.088,-20390.15777,-26023.15777,-23891.15777,2746.84223,-25404.15777,-12608.15777,-9609.15777,-10779.15777,-16234.03201,-13160.03201,1091.96799,-3775.03201,-9252.03201,-12825.03201,-17736.03201,-7943.03201,-13365.60134,11089.39866,11269.39866,5811.39866,-10417.60134,-4078.60134,-12285.60134,-1487.60134,-14692.72334,-10569.72334,8161.27666,-7183.72334,-15035.72334,-10973.72334,-12784.72334,-6776.72334,-9837.10835,-4800.10835,23567.89165,1997.89165,-8999.10835,-5276.10835,-9304.10835,-4376.10835,-6454.126424,3678.873576,8234.873576,-2163.126424,-6603.126424,-3744.126424,-5245.126424,-3496.126424,easy,yes
-285144.4418,-306694.4418,164670.5582,779178.5582,1344874.558,-224276.4418,-449911.4418,-281269.4418,-16451.088,-62375.088,-103221.088,-30538.088,327729.912,-46912.088,-97851.088,-70783.088,-17478.15777,-25563.15777,-25941.15777,-19923.15777,115425.8422,89521.84223,-26166.15777,9443.84223,-15283.03201,-20373.03201,-14631.03201,-8297.03201,95884.96799,-501.03201,-16109.03201,-2466.03201,9707.39866,-14431.60134,-12160.60134,-2813.60134,68295.39866,11212.39866,-13347.60134,2254.39866,-4364.72334,-16193.72334,-8698.72334,-12671.72334,19907.27666,15533.27666,-14454.72334,11483.27666,-10828.10835,-12061.10835,-9275.10835,-7576.10835,37362.89165,-3932.10835,-12327.10835,-8212.10835,-3466.126424,-7478.126424,-4838.126424,-1590.126424,15375.87358,494.873576,-7660.126424,-3523.126424,easy,yes
819232.5582,344570.5582,221281.5582,2243561.558,2272095.558,856531.5582,-439788.4418,-298414.4418,-41297.088,69392.912,44205.912,115402.912,200619.912,62285.912,-45825.088,-92862.088,-17553.15777,-4309.15777,-20745.15777,41160.84223,6627.84223,32385.84223,3705.84223,-21345.15777,37480.96799,51029.96799,13879.96799,-1933.03201,39174.96799,67191.96799,-19206.03201,-17799.03201,12219.39866,31200.39866,23462.39866,-6682.60134,24037.39866,29403.39866,-4445.60134,-9298.60134,4880.27666,16044.27666,9237.27666,3845.27666,105.27666,11152.27666,-10858.72334,-12024.72334,-4277.10835,297.89165,2129.89165,-7713.10835,-3455.10835,-4075.10835,-7034.10835,-11408.10835,-3342.126424,2228.873576,-1940.126424,-1268.126424,-3846.126424,1872.873576,-6663.126424,-7144.126424,easy,yes
-118194.4418,-484898.4418,-322496.4418,-473194.4418,-461750.4418,-376693.4418,-400604.4418,-261798.4418,-79906.088,-110497.088,-100373.088,-95436.088,-65032.088,-101649.088,-96187.088,-78889.088,-25850.15777,-24368.15777,-22069.15777,-8344.15777,-21414.15777,-24571.15777,-23206.15777,-19854.15777,-16308.03201,-20135.03201,-19645.03201,-8988.03201,-8068.03201,-19191.03201,-17513.03201,-18397.03201,-11170.60134,-13794.60134,-12589.60134,-8956.60134,-10813.60134,-13930.60134,-8843.60134,-10722.60134,-15203.72334,-16071.72334,-14775.72334,-12474.72334,-10891.72334,-16286.72334,-9371.72334,-14311.72334,-10475.10835,-11135.10835,-11927.10835,-9034.10835,-9575.10835,-11946.10835,-9573.10835,-10521.10835,-6581.126424,-7559.126424,-6557.126424,-5958.126424,-5138.126424,-7527.126424,-4909.126424,-5341.126424,easy,yes
2056274.558,-466152.4418,-430350.4418,-239921.4418,-463999.4418,-468034.4418,-485381.4418,-463992.4418,193308.912,-102786.088,-109744.088,-102444.088,-73352.088,-105950.088,-58973.088,-83285.088,-1340.15777,-24551.15777,-26637.15777,-24500.15777,-20289.15777,-19131.15777,20900.84223,-14091.15777,49276.96799,-17538.03201,-18334.03201,-11808.03201,4533.96799,-12819.03201,5706.96799,3168.96799,23919.39866,-10936.60134,-13903.60134,-4957.60134,-9671.60134,-11939.60134,-13596.60134,-10206.60134,9298.27666,-15265.72334,-16295.72334,-14261.72334,-15227.72334,-14200.72334,-14937.72334,-13648.72334,18906.89165,-11475.10835,-11906.10835,-8404.10835,-11109.10835,-10992.10835,-10694.10835,-10597.10835,-476.126424,-5729.126424,-7466.126424,-6669.126424,-6427.126424,-6905.126424,-6797.126424,-7212.126424,easy,yes
-243410.4418,-423629.4418,-335333.4418,-457004.4418,-475519.4418,-477717.4418,-464344.4418,-400012.4418,-107824.088,-79349.088,-99132.088,-101306.088,-100525.088,-99903.088,-96167.088,-96982.088,-25377.15777,-24224.15777,-21756.15777,-17942.15777,-18961.15777,-24596.15777,-20121.15777,-17247.15777,-11963.03201,-18984.03201,-17167.03201,-5104.03201,-10455.03201,-10345.03201,-2241.03201,-17719.03201,-11960.60134,-13260.60134,-9310.60134,-8435.60134,-13379.60134,-10609.60134,-10984.60134,-13573.60134,-12799.72334,-15442.72334,-11516.72334,-11790.72334,-13324.72334,-13209.72334,-13880.72334,-11097.72334,-11506.10835,-11331.10835,-6120.10835,-10738.10835,-11575.10835,-11611.10835,-9328.10835,4528.89165,-6892.126424,-7130.126424,4537.873576,-5639.126424,-5829.126424,-5211.126424,-4199.126424,-4590.126424,easy,yes
1267089.558,455257.5582,301064.5582,-444651.4418,225700.5582,-246925.4418,-251289.4418,1177691.558,-63939.088,57487.912,624625.912,-82019.088,-67479.088,-59499.088,26917.912,1780261.912,-11645.15777,1113.84223,12408.84223,-25706.15777,-21024.15777,-7072.15777,12062.84223,247435.8422,-16614.03201,37204.96799,190927.968,-16008.03201,-149.03201,-20669.03201,21657.96799,141457.968,-5675.60134,13254.39866,53401.39866,-10133.60134,-6754.60134,-12449.60134,11636.39866,40924.39866,-4121.72334,14305.27666,92181.27666,-9162.72334,-14191.72334,-14118.72334,-5756.72334,58726.27666,10447.89165,15544.89165,83519.89165,-9244.10835,-8290.10835,-7134.10835,3448.89165,11393.89165,1046.873576,1508.873576,58014.87358,-6160.126424,-6662.126424,-6552.126424,-1414.126424,18097.87358,easy,yes
-368443.4418,-381736.4418,-457028.4418,-321596.4418,-472830.4418,-475432.4418,-143687.4418,-446390.4418,-89491.088,-71819.088,-105051.088,-82496.088,-101289.088,-99686.088,-93216.088,-66657.088,-22202.15777,-20756.15777,-23833.15777,-21286.15777,-23720.15777,-16497.15777,-21469.15777,-20705.15777,-18656.03201,1278.96799,-10575.03201,-18733.03201,-11875.03201,8547.96799,-11760.03201,-18734.03201,-11849.60134,-12011.60134,-11749.60134,-10795.60134,-12146.60134,-12140.60134,14248.39866,-13924.60134,-15835.72334,-11419.72334,-10534.72334,-8531.72334,-14308.72334,-13681.72334,-11746.72334,-14542.72334,-11701.10835,-8252.10835,-7479.10835,-9249.10835,-10400.10835,-8536.10835,-2689.10835,-10873.10835,-6615.126424,-6806.126424,-6841.126424,-2734.126424,-6869.126424,-6244.126424,-5188.126424,-7010.126424,difficult,yes
-130249.4418,419404.5582,-294528.4418,-357538.4418,-300636.4418,-160682.4418,327690.5582,-398243.4418,-39305.088,-30390.088,-49795.088,-66702.088,94959.912,-89006.088,8630.912,-18288.088,-7261.15777,-15386.15777,-13205.15777,-6034.15777,32652.84223,-21612.15777,15899.84223,-3605.15777,-14084.03201,-6633.03201,-17883.03201,-7010.03201,-12857.03201,-18288.03201,-5075.03201,-7718.03201,-10646.60134,-12384.60134,-12392.60134,-12237.60134,-9910.60134,-14240.60134,23801.39866,-10169.60134,-13017.72334,-7176.72334,-12981.72334,-14061.72334,-949.72334,-16329.72334,50931.27666,-10327.72334,-8242.10835,6236.89165,-7610.10835,-8489.10835,-2530.10835,-10819.10835,29521.89165,-8036.10835,-6074.126424,1386.873576,-5376.126424,-5961.126424,-2452.126424,-7142.126424,5517.873576,-5004.126424,easy,yes
-426795.4418,151248.5582,-271075.4418,-412777.4418,-220305.4418,-211480.4418,-310567.4418,815963.5582,-100651.088,73552.912,10360.912,-104927.088,212289.912,53274.912,-19431.088,225337.912,-23929.15777,21309.84223,-14034.15777,-24667.15777,286293.8422,-4147.15777,22347.84223,82165.84223,-12201.03201,-7436.03201,6691.96799,-19273.03201,33884.96799,-2694.03201,10549.96799,39572.96799,-10650.60134,12972.39866,-3038.60134,-14062.60134,975.39866,-2164.60134,319.39866,34003.39866,-13628.72334,8347.27666,-6022.72334,-15285.72334,11010.27666,-3134.72334,558.27666,3914.27666,-9519.10835,2877.89165,481.89165,-11591.10835,27860.89165,681.89165,16550.89165,59628.89165,-6606.126424,21372.87358,1981.873576,-7373.126424,22998.87358,-956.126424,9625.873576,6679.873576,easy,yes
1267324.558,182038.5582,-73528.4418,399724.5582,1647544.558,-33891.4418,-207666.4418,-306087.4418,549557.912,-9400.088,-85058.088,103214.912,146028.912,-70578.088,-107881.088,-43208.088,156519.8422,-15052.15777,-11218.15777,-18115.15777,5056.84223,-26095.15777,-21532.15777,-20662.15777,129667.968,7735.96799,-2450.03201,3367.96799,-14506.03201,-20300.03201,-18459.03201,-17903.03201,32170.39866,1182.39866,-7446.60134,-6779.60134,-9892.60134,-9258.60134,-12649.60134,-12631.60134,52770.27666,4563.27666,1987.27666,7597.27666,-8314.72334,-14667.72334,-15241.72334,-15546.72334,43368.89165,-6835.10835,-7169.10835,-3468.10835,-9020.10835,-11251.10835,-11747.10835,-11861.10835,18321.87358,158.873576,1981.873576,6600.873576,-2742.126424,-7176.126424,-7185.126424,-7285.126424,easy,yes
-465029.4418,-413599.4418,-473791.4418,-464543.4418,3855.5582,-12844.4418,-476338.4418,-428428.4418,-99883.088,-103070.088,-102981.088,-104393.088,-39690.088,-89165.088,-108746.088,-98980.088,-5069.15777,-18755.15777,-8485.15777,-17312.15777,71402.84223,-17846.15777,-20047.15777,-15661.15777,6366.96799,-16733.03201,-15490.03201,-12074.03201,-4805.03201,-18575.03201,-18685.03201,-10897.03201,-7044.60134,-12903.60134,-8766.60134,-9410.60134,3125.39866,-9532.60134,-10129.60134,2923.39866,-8525.72334,-15484.72334,2003.27666,-5236.72334,9880.27666,-11801.72334,-15776.72334,-5342.72334,-3553.10835,-11534.10835,82.89165,-4731.10835,21313.89165,-10319.10835,-10973.10835,5580.89165,376.873576,-7182.126424,-2957.126424,-4193.126424,9641.873576,-4624.126424,-5686.126424,2915.873576,difficult,no
-484031.4418,-425204.4418,-473696.4418,-475450.4418,-435723.4418,-486944.4418,-462556.4418,-342263.4418,-96270.088,-62411.088,-103579.088,-96186.088,-83669.088,-108913.088,-88306.088,-94750.088,-22176.15777,-17484.15777,-12561.15777,-23349.15777,-19554.15777,-21181.15777,-7053.15777,-17484.15777,-14719.03201,-15531.03201,-17153.03201,-16982.03201,-15320.03201,-14473.03201,-13664.03201,-11323.03201,-4648.60134,-14774.60134,-5229.60134,-10978.60134,-11575.60134,-6718.60134,-14016.60134,-8856.60134,-7377.72334,-14218.72334,-7060.72334,-9975.72334,-14802.72334,-9704.72334,-14575.72334,-14795.72334,-7786.10835,-10923.10835,-7027.10835,-4432.10835,-11701.10835,-5843.10835,-10977.10835,-10615.10835,1363.873576,-7141.126424,-2837.126424,-4627.126424,-6917.126424,-4561.126424,-6707.126424,-6861.126424,easy,yes
-366034.4418,-468736.4418,-455459.4418,-448777.4418,-445288.4418,-474963.4418,-435803.4418,-450006.4418,-88840.088,-59151.088,-92588.088,-95503.088,-78633.088,-108068.088,-81861.088,-79943.088,-23684.15777,-13807.15777,-19601.15777,-23335.15777,-14241.15777,-21161.15777,-20101.15777,-2838.15777,-13167.03201,-2829.03201,-19045.03201,-17041.03201,-19621.03201,-18024.03201,-17494.03201,-16176.03201,-13056.60134,18916.39866,-12788.60134,-13045.60134,-14386.60134,-13768.60134,-12391.60134,-14133.60134,-15864.72334,-11340.72334,-14819.72334,-16018.72334,-15639.72334,-9886.72334,-14250.72334,-16237.72334,-11522.10835,-6229.10835,-10719.10835,-10585.10835,-10869.10835,-9420.10835,-11993.10835,-9686.10835,-4306.126424,-1444.126424,-6145.126424,-6335.126424,-6685.126424,-4824.126424,-7191.126424,-6703.126424,difficult,no
-351392.4418,-436632.4418,-486618.4418,-470439.4418,-481201.4418,-477422.4418,-482363.4418,-448668.4418,-91329.088,-108369.088,-106907.088,-105390.088,-104828.088,-86230.088,-93006.088,-83820.088,-12558.15777,-24679.15777,-23519.15777,-25615.15777,-15221.15777,-18347.15777,-24835.15777,-24186.15777,-9341.03201,-17727.03201,-17408.03201,-18917.03201,-13665.03201,8279.96799,-5588.03201,-19254.03201,18768.39866,-9259.60134,-13990.60134,-7503.60134,-5897.60134,-10183.60134,-6999.60134,-14097.60134,-3629.72334,-13927.72334,-13045.72334,-13750.72334,2453.27666,2525.27666,-1940.72334,-13532.72334,-3652.10835,-11033.10835,-10059.10835,-8921.10835,-5291.10835,-90.10835,-2141.10835,-10771.10835,1733.873576,-7089.126424,-5867.126424,-6350.126424,469.873576,9539.873576,-1397.126424,-6110.126424,easy,yes
-364904.4418,-481433.4418,-483004.4418,-482596.4418,-486024.4418,-477964.4418,-356721.4418,-442665.4418,-86928.088,-99084.088,-96194.088,-99010.088,-108982.088,-107408.088,-107667.088,-84671.088,-24052.15777,-23889.15777,-24582.15777,-24463.15777,-18648.15777,-22673.15777,-23696.15777,-20800.15777,-17891.03201,6721.96799,-12208.03201,-3222.03201,-11857.03201,-11314.03201,-16873.03201,-17751.03201,-13676.60134,-8092.60134,-7416.60134,-667.60134,-8041.60134,-3178.60134,-12254.60134,-6489.60134,-14898.72334,-5308.72334,-9669.72334,-8151.72334,-11325.72334,-4223.72334,-16073.72334,-8162.72334,-11324.10835,6657.89165,5922.89165,-1372.10835,-4060.10835,-10633.10835,-11699.10835,1454.89165,-7394.126424,12342.87358,-5158.126424,-5625.126424,-2643.126424,-2648.126424,-6555.126424,-3153.126424,easy,yes
-1738.4418,-486917.4418,-476907.4418,-403799.4418,-480392.4418,-483190.4418,-484817.4418,-456586.4418,-76283.088,-97210.088,-98841.088,-89964.088,-104371.088,-109561.088,-94110.088,-105055.088,-20284.15777,-16565.15777,-22076.15777,-21539.15777,-15306.15777,-21129.15777,-20798.15777,-15824.15777,18422.96799,-5802.03201,-18157.03201,-19268.03201,-13810.03201,-9333.03201,-17037.03201,-9860.03201,-9384.60134,-13583.60134,-11900.60134,-13441.60134,-9878.60134,-12593.60134,-8933.60134,-9030.60134,-1352.72334,-6452.72334,-13358.72334,-15369.72334,-11797.72334,-9203.72334,-9583.72334,-8866.72334,126.89165,2944.89165,-2868.10835,-10413.10835,-8175.10835,-6008.10835,-6472.10835,-7637.10835,-426.126424,-1135.126424,-3919.126424,-6443.126424,-3895.126424,-4953.126424,-998.126424,-1747.126424,easy,no
-415924.4418,-429252.4418,-280734.4418,-442928.4418,-436336.4418,-468580.4418,-443855.4418,-478589.4418,-97138.088,-96478.088,-52594.088,-93352.088,-93932.088,-108745.088,-98366.088,-100557.088,-20258.15777,-21916.15777,-16173.15777,-15553.15777,-22293.15777,-23078.15777,-24196.15777,-16950.15777,-15287.03201,-15545.03201,-15996.03201,-15495.03201,-17446.03201,-10968.03201,-17864.03201,-12945.03201,-12244.60134,-12417.60134,-13516.60134,-13020.60134,-11772.60134,-12668.60134,-14229.60134,-12529.60134,-14910.72334,-14426.72334,-14161.72334,-15806.72334,-14231.72334,-9897.72334,-15256.72334,-11356.72334,-11466.10835,-9636.10835,-10812.10835,-10290.10835,-10525.10835,-10077.10835,-12055.10835,-8798.10835,-7350.126424,-6745.126424,-5220.126424,-6285.126424,-6155.126424,-3546.126424,-7005.126424,-3627.126424,easy,yes
73828.5582,-443694.4418,-440420.4418,-485180.4418,-368157.4418,-279611.4418,348189.5582,-380176.4418,431055.912,-107534.088,-91483.088,-111108.088,-92101.088,-20184.088,-25323.088,-79201.088,53893.84223,-24842.15777,-20364.15777,-25031.15777,8769.84223,-11851.15777,-18650.15777,-17368.15777,70315.96799,-19529.03201,-17645.03201,-17935.03201,10175.96799,-7074.03201,-6066.03201,-9528.03201,12923.39866,-13598.60134,-6434.60134,-13612.60134,-8495.60134,-12754.60134,-2209.60134,-9653.60134,86305.27666,-16528.72334,-10993.72334,-13073.72334,-5932.72334,-14519.72334,-8312.72334,-7213.72334,91622.89165,-11762.10835,-7713.10835,-11146.10835,-1419.10835,-10037.10835,-522.10835,-6601.10835,11819.87358,-7296.126424,-4550.126424,-4981.126424,-2335.126424,-6090.126424,-2605.126424,-2138.126424,easy,yes
