delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
232481-998976-994381-587312-84405-188679-113223-603092,66367-148299-205088-63233-16750-24405-214617-79791,4710-42722-9091-155458-4163-10658-41172-11948,3300-12396-22593-7719-5022-3311-7567-24132,4379-12283-7072-12657-1215-2015-21135-7270,3526-9123-22420-11360-976-1688-8107-10687,311-2536-8376-7989-852-836-4440-5494,160-1160-4243-3910-690-980-4116-2042,easy
998976-994381-587312-84405-188679-113223-603092-552652,148299-205088-63233-16750-24405-214617-79791-463755,42722-9091-155458-4163-10658-41172-11948-28596,12396-22593-7719-5022-3311-7567-24132-69044,12283-7072-12657-1215-2015-21135-7270-49401,9123-22420-11360-976-1688-8107-10687-20144,2536-8376-7989-852-836-4440-5494-8954,1160-4243-3910-690-980-4116-2042-4774,easy
994381-587312-84405-188679-113223-603092-552652-756584,205088-63233-16750-24405-214617-79791-463755-152832,9091-155458-4163-10658-41172-11948-28596-66821,22593-7719-5022-3311-7567-24132-69044-47062,7072-12657-1215-2015-21135-7270-49401-31247,22420-11360-976-1688-8107-10687-20144-16309,8376-7989-852-836-4440-5494-8954-18049,4243-3910-690-980-4116-2042-4774-3490,easy
587312-84405-188679-113223-603092-552652-756584-734067,63233-16750-24405-214617-79791-463755-152832-109172,155458-4163-10658-41172-11948-28596-66821-35692,7719-5022-3311-7567-24132-69044-47062-14903,12657-1215-2015-21135-7270-49401-31247-14856,11360-976-1688-8107-10687-20144-16309-9068,7989-852-836-4440-5494-8954-18049-1000,3910-690-980-4116-2042-4774-3490-723,easy
84405-188679-113223-603092-552652-756584-734067-1928919,16750-24405-214617-79791-463755-152832-109172-1158533,4163-10658-41172-11948-28596-66821-35692-520590,5022-3311-7567-24132-69044-47062-14903-92827,1215-2015-21135-7270-49401-31247-14856-164983,976-1688-8107-10687-20144-16309-9068-122061,852-836-4440-5494-8954-18049-1000-31511,690-980-4116-2042-4774-3490-723-21106,easy
188679-113223-603092-552652-756584-734067-1928919-601783,24405-214617-79791-463755-152832-109172-1158533-382309,10658-41172-11948-28596-66821-35692-520590-110501,3311-7567-24132-69044-47062-14903-92827-36405,2015-21135-7270-49401-31247-14856-164983-53900,1688-8107-10687-20144-16309-9068-122061-15517,836-4440-5494-8954-18049-1000-31511-10705,980-4116-2042-4774-3490-723-21106-7082,easy
113223-603092-552652-756584-734067-1928919-601783-583754,214617-79791-463755-152832-109172-1158533-382309-649824,41172-11948-28596-66821-35692-520590-110501-81779,7567-24132-69044-47062-14903-92827-36405-33856,21135-7270-49401-31247-14856-164983-53900-36135,8107-10687-20144-16309-9068-122061-15517-32156,4440-5494-8954-18049-1000-31511-10705-6227,4116-2042-4774-3490-723-21106-7082-3533,easy
603092-552652-756584-734067-1928919-601783-583754-752200,79791-463755-152832-109172-1158533-382309-649824-49657,11948-28596-66821-35692-520590-110501-81779-50857,24132-69044-47062-14903-92827-36405-33856-15434,7270-49401-31247-14856-164983-53900-36135-4612,10687-20144-16309-9068-122061-15517-32156-8033,5494-8954-18049-1000-31511-10705-6227-1755,2042-4774-3490-723-21106-7082-3533-921,easy
552652-756584-734067-1928919-601783-583754-752200-797117,463755-152832-109172-1158533-382309-649824-49657-170231,28596-66821-35692-520590-110501-81779-50857-210135,69044-47062-14903-92827-36405-33856-15434-74647,49401-31247-14856-164983-53900-36135-4612-27362,20144-16309-9068-122061-15517-32156-8033-18299,8954-18049-1000-31511-10705-6227-1755-21462,4774-3490-723-21106-7082-3533-921-4557,easy
756584-734067-1928919-601783-583754-752200-797117-32545,152832-109172-1158533-382309-649824-49657-170231-15367,66821-35692-520590-110501-81779-50857-210135-241,47062-14903-92827-36405-33856-15434-74647-2145,31247-14856-164983-53900-36135-4612-27362-6402,16309-9068-122061-15517-32156-8033-18299-1901,18049-1000-31511-10705-6227-1755-21462-891,3490-723-21106-7082-3533-921-4557-308,easy
734067-1928919-601783-583754-752200-797117-32545-905456,109172-1158533-382309-649824-49657-170231-15367-228105,35692-520590-110501-81779-50857-210135-241-74794,14903-92827-36405-33856-15434-74647-2145-90390,14856-164983-53900-36135-4612-27362-6402-19400,9068-122061-15517-32156-8033-18299-1901-11861,1000-31511-10705-6227-1755-21462-891-31284,723-21106-7082-3533-921-4557-308-6942,easy
1928919-601783-583754-752200-797117-32545-905456-1808616,1158533-382309-649824-49657-170231-15367-228105-78548,520590-110501-81779-50857-210135-241-74794-131794,92827-36405-33856-15434-74647-2145-90390-26716,164983-53900-36135-4612-27362-6402-19400-15007,122061-15517-32156-8033-18299-1901-11861-31558,31511-10705-6227-1755-21462-891-31284-3567,21106-7082-3533-921-4557-308-6942-4359,easy
601783-583754-752200-797117-32545-905456-1808616-192635,382309-649824-49657-170231-15367-228105-78548-113129,110501-81779-50857-210135-241-74794-131794-17923,36405-33856-15434-74647-2145-90390-26716-9153,53900-36135-4612-27362-6402-19400-15007-11674,15517-32156-8033-18299-1901-11861-31558-2221,10705-6227-1755-21462-891-31284-3567-1657,7082-3533-921-4557-308-6942-4359-1435,easy
583754-752200-797117-32545-905456-1808616-192635-191558,649824-49657-170231-15367-228105-78548-113129-77747,81779-50857-210135-241-74794-131794-17923-46948,33856-15434-74647-2145-90390-26716-9153-81832,36135-4612-27362-6402-19400-15007-11674-16329,32156-8033-18299-1901-11861-31558-2221-23265,6227-1755-21462-891-31284-3567-1657-6908,3533-921-4557-308-6942-4359-1435-6933,easy
752200-797117-32545-905456-1808616-192635-191558-141186,49657-170231-15367-228105-78548-113129-77747-76770,50857-210135-241-74794-131794-17923-46948-10461,15434-74647-2145-90390-26716-9153-81832-10357,4612-27362-6402-19400-15007-11674-16329-9776,8033-18299-1901-11861-31558-2221-23265-3260,1755-21462-891-31284-3567-1657-6908-1247,921-4557-308-6942-4359-1435-6933-1008,easy
797117-32545-905456-1808616-192635-191558-141186-1355328,170231-15367-228105-78548-113129-77747-76770-188810,210135-241-74794-131794-17923-46948-10461-24459,74647-2145-90390-26716-9153-81832-10357-26388,27362-6402-19400-15007-11674-16329-9776-31633,18299-1901-11861-31558-2221-23265-3260-10400,21462-891-31284-3567-1657-6908-1247-8274,4557-308-6942-4359-1435-6933-1008-4513,easy
32545-905456-1808616-192635-191558-141186-1355328-705690,15367-228105-78548-113129-77747-76770-188810-115443,241-74794-131794-17923-46948-10461-24459-30137,2145-90390-26716-9153-81832-10357-26388-6807,6402-19400-15007-11674-16329-9776-31633-3796,1901-11861-31558-2221-23265-3260-10400-6817,891-31284-3567-1657-6908-1247-8274-1335,308-6942-4359-1435-6933-1008-4513-1487,easy
905456-1808616-192635-191558-141186-1355328-705690-1327213,228105-78548-113129-77747-76770-188810-115443-69804,74794-131794-17923-46948-10461-24459-30137-37037,90390-26716-9153-81832-10357-26388-6807-74712,19400-15007-11674-16329-9776-31633-3796-9987,11861-31558-2221-23265-3260-10400-6817-9943,31284-3567-1657-6908-1247-8274-1335-4889,6942-4359-1435-6933-1008-4513-1487-5018,easy
1808616-192635-191558-141186-1355328-705690-1327213-120630,78548-113129-77747-76770-188810-115443-69804-36214,131794-17923-46948-10461-24459-30137-37037-22105,26716-9153-81832-10357-26388-6807-74712-20495,15007-11674-16329-9776-31633-3796-9987-5058,31558-2221-23265-3260-10400-6817-9943-4371,3567-1657-6908-1247-8274-1335-4889-2008,4359-1435-6933-1008-4513-1487-5018-935,easy
192635-191558-141186-1355328-705690-1327213-120630-1133141,113129-77747-76770-188810-115443-69804-36214-54812,17923-46948-10461-24459-30137-37037-22105-68474,9153-81832-10357-26388-6807-74712-20495-29822,11674-16329-9776-31633-3796-9987-5058-32547,2221-23265-3260-10400-6817-9943-4371-10171,1657-6908-1247-8274-1335-4889-2008-8554,1435-6933-1008-4513-1487-5018-935-4909,hard
191558-141186-1355328-705690-1327213-120630-1133141-348787,77747-76770-188810-115443-69804-36214-54812-23082,46948-10461-24459-30137-37037-22105-68474-4545,81832-10357-26388-6807-74712-20495-29822-2316,16329-9776-31633-3796-9987-5058-32547-2723,23265-3260-10400-6817-9943-4371-10171-14416,6908-1247-8274-1335-4889-2008-8554-1332,6933-1008-4513-1487-5018-935-4909-859,easy
141186-1355328-705690-1327213-120630-1133141-348787-2224201,76770-188810-115443-69804-36214-54812-23082-522524,10461-24459-30137-37037-22105-68474-4545-83355,10357-26388-6807-74712-20495-29822-2316-75650,9776-31633-3796-9987-5058-32547-2723-60402,3260-10400-6817-9943-4371-10171-14416-100621,1247-8274-1335-4889-2008-8554-1332-29528,1008-4513-1487-5018-935-4909-859-21416,easy
1355328-705690-1327213-120630-1133141-348787-2224201-815714,188810-115443-69804-36214-54812-23082-522524-274658,24459-30137-37037-22105-68474-4545-83355-63096,26388-6807-74712-20495-29822-2316-75650-76717,31633-3796-9987-5058-32547-2723-60402-28638,10400-6817-9943-4371-10171-14416-100621-17885,8274-1335-4889-2008-8554-1332-29528-20902,4513-1487-5018-935-4909-859-21416-5459,easy
705690-1327213-120630-1133141-348787-2224201-815714-183274,115443-69804-36214-54812-23082-522524-274658-66233,30137-37037-22105-68474-4545-83355-63096-16634,6807-74712-20495-29822-2316-75650-76717-7289,3796-9987-5058-32547-2723-60402-28638-3134,6817-9943-4371-10171-14416-100621-17885-2625,1335-4889-2008-8554-1332-29528-20902-1421,1487-5018-935-4909-859-21416-5459-653,easy
1327213-120630-1133141-348787-2224201-815714-183274-146240,69804-36214-54812-23082-522524-274658-66233-41801,37037-22105-68474-4545-83355-63096-16634-374,74712-20495-29822-2316-75650-76717-7289-32325,9987-5058-32547-2723-60402-28638-3134-2484,9943-4371-10171-14416-100621-17885-2625-6430,4889-2008-8554-1332-29528-20902-1421-1507,5018-935-4909-859-21416-5459-653-812,easy
120630-1133141-348787-2224201-815714-183274-146240-1320900,36214-54812-23082-522524-274658-66233-41801-17212,22105-68474-4545-83355-63096-16634-374-13752,20495-29822-2316-75650-76717-7289-32325-56870,5058-32547-2723-60402-28638-3134-2484-26252,4371-10171-14416-100621-17885-2625-6430-20391,2008-8554-1332-29528-20902-1421-1507-7149,935-4909-859-21416-5459-653-812-1701,easy
1133141-348787-2224201-815714-183274-146240-1320900-324677,54812-23082-522524-274658-66233-41801-17212-68124,68474-4545-83355-63096-16634-374-13752-6088,29822-2316-75650-76717-7289-32325-56870-2286,32547-2723-60402-28638-3134-2484-26252-8712,10171-14416-100621-17885-2625-6430-20391-2300,8554-1332-29528-20902-1421-1507-7149-1328,4909-859-21416-5459-653-812-1701-1295,hard
348787-2224201-815714-183274-146240-1320900-324677-913073,23082-522524-274658-66233-41801-17212-68124-90897,4545-83355-63096-16634-374-13752-6088-67090,2316-75650-76717-7289-32325-56870-2286-73220,2723-60402-28638-3134-2484-26252-8712-18258,14416-100621-17885-2625-6430-20391-2300-19912,1332-29528-20902-1421-1507-7149-1328-4248,859-21416-5459-653-812-1701-1295-4465,easy
2224201-815714-183274-146240-1320900-324677-913073-542019,522524-274658-66233-41801-17212-68124-90897-223144,83355-63096-16634-374-13752-6088-67090-96637,75650-76717-7289-32325-56870-2286-73220-29617,60402-28638-3134-2484-26252-8712-18258-6328,100621-17885-2625-6430-20391-2300-19912-16210,29528-20902-1421-1507-7149-1328-4248-5442,21416-5459-653-812-1701-1295-4465-3038,easy
815714-183274-146240-1320900-324677-913073-542019-1178517,274658-66233-41801-17212-68124-90897-223144-64483,63096-16634-374-13752-6088-67090-96637-33200,76717-7289-32325-56870-2286-73220-29617-12695,28638-3134-2484-26252-8712-18258-6328-5468,17885-2625-6430-20391-2300-19912-16210-32746,20902-1421-1507-7149-1328-4248-5442-5913,5459-653-812-1701-1295-4465-3038-6787,easy
183274-146240-1320900-324677-913073-542019-1178517-1501059,66233-41801-17212-68124-90897-223144-64483-1692642,16634-374-13752-6088-67090-96637-33200-315003,7289-32325-56870-2286-73220-29617-12695-338331,3134-2484-26252-8712-18258-6328-5468-179852,2625-6430-20391-2300-19912-16210-32746-98151,1421-1507-7149-1328-4248-5442-5913-34239,653-812-1701-1295-4465-3038-6787-6467,easy
146240-1320900-324677-913073-542019-1178517-1501059-896959,41801-17212-68124-90897-223144-64483-1692642-121240,374-13752-6088-67090-96637-33200-315003-23270,32325-56870-2286-73220-29617-12695-338331-27566,2484-26252-8712-18258-6328-5468-179852-12733,6430-20391-2300-19912-16210-32746-98151-14884,1507-7149-1328-4248-5442-5913-34239-5475,812-1701-1295-4465-3038-6787-6467-3027,easy
1320900-324677-913073-542019-1178517-1501059-896959-1951473,17212-68124-90897-223144-64483-1692642-121240-192730,13752-6088-67090-96637-33200-315003-23270-89997,56870-2286-73220-29617-12695-338331-27566-53939,26252-8712-18258-6328-5468-179852-12733-11351,20391-2300-19912-16210-32746-98151-14884-7102,7149-1328-4248-5442-5913-34239-5475-6800,1701-1295-4465-3038-6787-6467-3027-5687,easy
324677-913073-542019-1178517-1501059-896959-1951473-2240221,68124-90897-223144-64483-1692642-121240-192730-116301,6088-67090-96637-33200-315003-23270-89997-13677,2286-73220-29617-12695-338331-27566-53939-54644,8712-18258-6328-5468-179852-12733-11351-18442,2300-19912-16210-32746-98151-14884-7102-18733,1328-4248-5442-5913-34239-5475-6800-4736,1295-4465-3038-6787-6467-3027-5687-5325,easy
913073-542019-1178517-1501059-896959-1951473-2240221-1346876,90897-223144-64483-1692642-121240-192730-116301-277705,67090-96637-33200-315003-23270-89997-13677-50628,73220-29617-12695-338331-27566-53939-54644-61363,18258-6328-5468-179852-12733-11351-18442-24566,19912-16210-32746-98151-14884-7102-18733-15378,4248-5442-5913-34239-5475-6800-4736-3228,4465-3038-6787-6467-3027-5687-5325-6402,easy
542019-1178517-1501059-896959-1951473-2240221-1346876-1201398,223144-64483-1692642-121240-192730-116301-277705-255820,96637-33200-315003-23270-89997-13677-50628-131387,29617-12695-338331-27566-53939-54644-61363-5346,6328-5468-179852-12733-11351-18442-24566-16782,16210-32746-98151-14884-7102-18733-15378-14812,5442-5913-34239-5475-6800-4736-3228-7843,3038-6787-6467-3027-5687-5325-6402-2401,easy
1178517-1501059-896959-1951473-2240221-1346876-1201398-1438673,64483-1692642-121240-192730-116301-277705-255820-328555,33200-315003-23270-89997-13677-50628-131387-97547,12695-338331-27566-53939-54644-61363-5346-37004,5468-179852-12733-11351-18442-24566-16782-41344,32746-98151-14884-7102-18733-15378-14812-14985,5913-34239-5475-6800-4736-3228-7843-8382,6787-6467-3027-5687-5325-6402-2401-2504,easy
1501059-896959-1951473-2240221-1346876-1201398-1438673-715742,1692642-121240-192730-116301-277705-255820-328555-53036,315003-23270-89997-13677-50628-131387-97547-5065,338331-27566-53939-54644-61363-5346-37004-8715,179852-12733-11351-18442-24566-16782-41344-10887,98151-14884-7102-18733-15378-14812-14985-3036,34239-5475-6800-4736-3228-7843-8382-1788,6467-3027-5687-5325-6402-2401-2504-623,easy
896959-1951473-2240221-1346876-1201398-1438673-715742-638413,121240-192730-116301-277705-255820-328555-53036-669399,23270-89997-13677-50628-131387-97547-5065-22400,27566-53939-54644-61363-5346-37004-8715-68050,12733-11351-18442-24566-16782-41344-10887-26596,14884-7102-18733-15378-14812-14985-3036-18246,5475-6800-4736-3228-7843-8382-1788-5083,3027-5687-5325-6402-2401-2504-623-4288,easy
1951473-2240221-1346876-1201398-1438673-715742-638413-582061,192730-116301-277705-255820-328555-53036-669399-152454,89997-13677-50628-131387-97547-5065-22400-13606,53939-54644-61363-5346-37004-8715-68050-25618,11351-18442-24566-16782-41344-10887-26596-4944,7102-18733-15378-14812-14985-3036-18246-7747,6800-4736-3228-7843-8382-1788-5083-3293,5687-5325-6402-2401-2504-623-4288-6199,easy
2240221-1346876-1201398-1438673-715742-638413-582061-1963712,116301-277705-255820-328555-53036-669399-152454-122055,13677-50628-131387-97547-5065-22400-13606-62507,54644-61363-5346-37004-8715-68050-25618-23146,18442-24566-16782-41344-10887-26596-4944-16193,18733-15378-14812-14985-3036-18246-7747-15769,4736-3228-7843-8382-1788-5083-3293-10395,5325-6402-2401-2504-623-4288-6199-3496,easy
1346876-1201398-1438673-715742-638413-582061-1963712-525950,277705-255820-328555-53036-669399-152454-122055-581571,50628-131387-97547-5065-22400-13606-62507-16427,61363-5346-37004-8715-68050-25618-23146-39586,24566-16782-41344-10887-26596-4944-16193-34587,15378-14812-14985-3036-18246-7747-15769-14273,3228-7843-8382-1788-5083-3293-10395-4723,6402-2401-2504-623-4288-6199-3496-2884,easy
1201398-1438673-715742-638413-582061-1963712-525950-1867434,255820-328555-53036-669399-152454-122055-581571-300378,131387-97547-5065-22400-13606-62507-16427-43109,5346-37004-8715-68050-25618-23146-39586-44583,16782-41344-10887-26596-4944-16193-34587-8506,14812-14985-3036-18246-7747-15769-14273-16814,7843-8382-1788-5083-3293-10395-4723-6094,2401-2504-623-4288-6199-3496-2884-2455,easy
1438673-715742-638413-582061-1963712-525950-1867434-135044,328555-53036-669399-152454-122055-581571-300378-40089,97547-5065-22400-13606-62507-16427-43109-17944,37004-8715-68050-25618-23146-39586-44583-10456,41344-10887-26596-4944-16193-34587-8506-4147,14985-3036-18246-7747-15769-14273-16814-2729,8382-1788-5083-3293-10395-4723-6094-3569,2504-623-4288-6199-3496-2884-2455-994,easy
715742-638413-582061-1963712-525950-1867434-135044-651209,53036-669399-152454-122055-581571-300378-40089-306325,5065-22400-13606-62507-16427-43109-17944-38847,8715-68050-25618-23146-39586-44583-10456-26417,10887-26596-4944-16193-34587-8506-4147-14910,3036-18246-7747-15769-14273-16814-2729-19584,1788-5083-3293-10395-4723-6094-3569-7228,623-4288-6199-3496-2884-2455-994-3806,hard
638413-582061-1963712-525950-1867434-135044-651209-85126,669399-152454-122055-581571-300378-40089-306325-45156,22400-13606-62507-16427-43109-17944-38847-26629,68050-25618-23146-39586-44583-10456-26417-5848,26596-4944-16193-34587-8506-4147-14910-5905,18246-7747-15769-14273-16814-2729-19584-1735,5083-3293-10395-4723-6094-3569-7228-1431,4288-6199-3496-2884-2455-994-3806-1113,easy
582061-1963712-525950-1867434-135044-651209-85126-430420,152454-122055-581571-300378-40089-306325-45156-651050,13606-62507-16427-43109-17944-38847-26629-54670,25618-23146-39586-44583-10456-26417-5848-76731,4944-16193-34587-8506-4147-14910-5905-18368,7747-15769-14273-16814-2729-19584-1735-16593,3293-10395-4723-6094-3569-7228-1431-9222,6199-3496-2884-2455-994-3806-1113-3802,easy
1963712-525950-1867434-135044-651209-85126-430420-363037,122055-581571-300378-40089-306325-45156-651050-38209,62507-16427-43109-17944-38847-26629-54670-12762,23146-39586-44583-10456-26417-5848-76731-5747,16193-34587-8506-4147-14910-5905-18368-8631,15769-14273-16814-2729-19584-1735-16593-4109,10395-4723-6094-3569-7228-1431-9222-2166,3496-2884-2455-994-3806-1113-3802-661,easy
525950-1867434-135044-651209-85126-430420-363037-1964371,581571-300378-40089-306325-45156-651050-38209-348536,16427-43109-17944-38847-26629-54670-12762-111454,39586-44583-10456-26417-5848-76731-5747-95214,34587-8506-4147-14910-5905-18368-8631-82938,14273-16814-2729-19584-1735-16593-4109-44382,4723-6094-3569-7228-1431-9222-2166-14254,2884-2455-994-3806-1113-3802-661-10486,easy
1867434-135044-651209-85126-430420-363037-1964371-232270,300378-40089-306325-45156-651050-38209-348536-31227,43109-17944-38847-26629-54670-12762-111454-16610,44583-10456-26417-5848-76731-5747-95214-13695,8506-4147-14910-5905-18368-8631-82938-5064,16814-2729-19584-1735-16593-4109-44382-3199,6094-3569-7228-1431-9222-2166-14254-774,2455-994-3806-1113-3802-661-10486-502,easy
135044-651209-85126-430420-363037-1964371-232270-1061398,40089-306325-45156-651050-38209-348536-31227-70094,17944-38847-26629-54670-12762-111454-16610-82994,10456-26417-5848-76731-5747-95214-13695-42742,4147-14910-5905-18368-8631-82938-5064-28605,2729-19584-1735-16593-4109-44382-3199-13550,3569-7228-1431-9222-2166-14254-774-19963,994-3806-1113-3802-661-10486-502-2414,easy
651209-85126-430420-363037-1964371-232270-1061398-475758,306325-45156-651050-38209-348536-31227-70094-182451,38847-26629-54670-12762-111454-16610-82994-46937,26417-5848-76731-5747-95214-13695-42742-23226,14910-5905-18368-8631-82938-5064-28605-28098,19584-1735-16593-4109-44382-3199-13550-19237,7228-1431-9222-2166-14254-774-19963-14242,3806-1113-3802-661-10486-502-2414-2565,easy
85126-430420-363037-1964371-232270-1061398-475758-1874964,45156-651050-38209-348536-31227-70094-182451-1473724,26629-54670-12762-111454-16610-82994-46937-425550,5848-76731-5747-95214-13695-42742-23226-115934,5905-18368-8631-82938-5064-28605-28098-97859,1735-16593-4109-44382-3199-13550-19237-43471,1431-9222-2166-14254-774-19963-14242-21550,1113-3802-661-10486-502-2414-2565-16763,easy
430420-363037-1964371-232270-1061398-475758-1874964-1031485,651050-38209-348536-31227-70094-182451-1473724-29854,54670-12762-111454-16610-82994-46937-425550-9425,76731-5747-95214-13695-42742-23226-115934-17943,18368-8631-82938-5064-28605-28098-97859-2633,16593-4109-44382-3199-13550-19237-43471-3791,9222-2166-14254-774-19963-14242-21550-2073,3802-661-10486-502-2414-2565-16763-626,easy
363037-1964371-232270-1061398-475758-1874964-1031485-834755,38209-348536-31227-70094-182451-1473724-29854-104303,12762-111454-16610-82994-46937-425550-9425-27754,5747-95214-13695-42742-23226-115934-17943-59039,8631-82938-5064-28605-28098-97859-2633-12003,4109-44382-3199-13550-19237-43471-3791-11389,2166-14254-774-19963-14242-21550-2073-9609,661-10486-502-2414-2565-16763-626-2915,hard
1964371-232270-1061398-475758-1874964-1031485-834755-1352962,348536-31227-70094-182451-1473724-29854-104303-111237,111454-16610-82994-46937-425550-9425-27754-55504,95214-13695-42742-23226-115934-17943-59039-25240,82938-5064-28605-28098-97859-2633-12003-67261,44382-3199-13550-19237-43471-3791-11389-20988,14254-774-19963-14242-21550-2073-9609-35502,10486-502-2414-2565-16763-626-2915-4228,easy
232270-1061398-475758-1874964-1031485-834755-1352962-1190057,31227-70094-182451-1473724-29854-104303-111237-816107,16610-82994-46937-425550-9425-27754-55504-31396,13695-42742-23226-115934-17943-59039-25240-133444,5064-28605-28098-97859-2633-12003-67261-20188,3199-13550-19237-43471-3791-11389-20988-27528,774-19963-14242-21550-2073-9609-35502-10740,502-2414-2565-16763-626-2915-4228-9354,easy
1061398-475758-1874964-1031485-834755-1352962-1190057-2106044,70094-182451-1473724-29854-104303-111237-816107-42133,82994-46937-425550-9425-27754-55504-31396-21174,42742-23226-115934-17943-59039-25240-133444-20647,28605-28098-97859-2633-12003-67261-20188-10800,13550-19237-43471-3791-11389-20988-27528-13378,19963-14242-21550-2073-9609-35502-10740-6067,2414-2565-16763-626-2915-4228-9354-1844,easy
475758-1874964-1031485-834755-1352962-1190057-2106044-260660,182451-1473724-29854-104303-111237-816107-42133-83654,46937-425550-9425-27754-55504-31396-21174-30337,23226-115934-17943-59039-25240-133444-20647-11939,28098-97859-2633-12003-67261-20188-10800-14966,19237-43471-3791-11389-20988-27528-13378-8175,14242-21550-2073-9609-35502-10740-6067-3514,2565-16763-626-2915-4228-9354-1844-949,easy
1874964-1031485-834755-1352962-1190057-2106044-260660-1198980,1473724-29854-104303-111237-816107-42133-83654-112189,425550-9425-27754-55504-31396-21174-30337-416384,115934-17943-59039-25240-133444-20647-11939-86910,97859-2633-12003-67261-20188-10800-14966-19935,43471-3791-11389-20988-27528-13378-8175-47017,21550-2073-9609-35502-10740-6067-3514-11272,16763-626-2915-4228-9354-1844-949-14454,easy
