delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
950371,136585,12490,54980,37446,27346,12007,6906,1781867,91302,55363,-36063,-28977,-6209,-7097,-250,1810401,176519,20830,5045,1743,-9949,-2839,-2828,394837,38185,46588,33062,7109,1098,-3459,2891,-901483,-69926,17908,-53336,-26740,-20913,-6418,-5645,-760109,-116963,-7143,-51929,-31593,-22079,-10792,-6126,easy
12520,7181,2752,5035,6068,8082,4833,4276,30323,7800,-1990,-4096,-1854,-5224,-3557,-1960,114655,74454,3272,181,-26,-4002,-2981,-1318,-5524,-3377,-1689,-2691,1392,9588,3933,196,140649,116637,18008,34360,19825,7432,2062,-20,28904,5690,934,-2750,-4156,-6573,-2529,-3242,difficult
341703,296311,37918,41995,28215,34077,17045,8953,-82686,-246181,-27745,-33266,-17029,-27142,-11932,-7327,-301038,-265749,-12284,-16255,-7856,-24074,5944,1323,68565,-292946,-31316,-39936,-24421,-32554,-15989,-6737,-338369,-274244,-27314,-38336,-25762,-30941,-13631,-6540,-333645,-290816,-37064,-38517,-23563,-33124,-15417,-8303,easy
37326,18170,3984,7707,7691,5610,4413,4546,87324,9110,-1488,-4018,-4812,-3378,-2814,-3547,33638,12411,499,-6178,-5864,-4963,-3943,-4367,-25390,-10203,1093,-5659,-1395,-2436,-1287,-348,-12734,-5881,1237,-4222,-6776,-2778,-3223,-3655,53410,-1641,219,-6828,-6894,-4752,-4049,-4439,difficult
36720,7695,2877,9146,5763,7368,4187,7191,46256,76334,23055,26118,10833,5467,-1458,-2550,-1310,26879,21857,-5463,-1917,-5595,-2989,-6126,189427,19330,62624,24671,19102,7284,-279,-1016,104717,23800,613,-6484,-3815,-5135,-1985,-6269,6351,66448,32280,-596,3161,6317,454,-2067,easy
106662,36957,4185,7552,5036,7229,8269,3773,-81461,-26948,-3184,-6937,-4613,-6605,-8007,-3461,2466,-15172,2172,-6768,-3846,-4182,-7468,-2493,40336,-13365,-2107,-6724,-4186,-6249,-7964,-3429,-52190,-29484,-3235,-6829,-4573,-6024,-8029,-3599,-102689,-34897,-3041,-4158,-3513,-3739,-6743,-3170,difficult
48054,32722,21533,3585,5655,6992,5872,4126,765987,110671,-3039,12262,1012,-1178,-2152,-478,481368,67058,-10069,26790,-248,5062,1218,-1328,1155648,46176,-11285,2548,1825,6088,6520,6189,170851,41499,-3503,2035,-2812,4192,2974,2046,-12503,-11862,19757,4260,-688,-3508,-1684,8,easy
44778,17054,4959,9865,8306,18046,9339,7065,24760,24524,-20,-7666,-5196,-15388,-7073,-5236,56158,1701,17246,5791,3820,-12889,-6166,922,15505,3488,-3912,-7492,-7873,-17690,-8819,-6578,14384,34837,8611,-2864,-5277,-15465,-7433,-4232,-2583,18943,355,-6972,-5368,-15765,-7420,-5758,difficult
197264,26012,9171,10081,7797,7688,3924,3038,-155114,-3875,-7004,-5215,-6164,-2353,1824,-665,355133,109454,66906,-5873,2761,8807,10284,4776,-158875,-17429,-5113,-6491,-5807,-5316,-1439,-1053,-189669,28006,-5261,-8540,11300,5098,6896,8077,12927,12261,-6656,-6263,-1367,-4450,-1548,-1408,easy
166621,17485,4552,10626,6889,8517,4815,4424,-115249,23743,4644,-8711,-5268,-5603,-3496,-2816,-75055,46878,12602,-7651,2059,-350,-2745,-2201,-147920,1007,4656,-5990,-2292,-4962,-3821,-3107,126460,36985,6108,1785,-1115,11187,5093,2246,-114593,15111,11235,-6863,-4642,-5692,-3679,-3325,difficult
720815,90577,28124,18466,14703,31871,17690,11540,241726,51609,-18917,-5357,25631,-16422,-10492,-9059,-708741,-69576,-22780,-17155,-13652,-31178,-17420,-11153,-650039,-64530,-22012,-14568,-12538,-30812,-17024,-11068,-579677,-56286,-27045,-11949,-4208,-28031,-14732,-8508,-655014,-86324,-24582,-16614,-13906,-31458,-17279,-11299,easy
188908,71994,11302,12677,18377,13727,3712,5408,1585,-59740,-9781,-11772,-16200,-12546,-1784,-4719,17844,-48238,-6441,-8302,-14129,-10354,-1938,-4030,-2045,-60438,-9829,-10357,-15233,-12652,-3017,-5140,-136479,-65939,-4011,-9447,-16528,-11662,-2745,-4121,-140119,-52806,1494,-6684,-15919,-10566,-2384,-2467,difficult
172521,69799,11738,11450,14693,19928,10582,9383,147733,290921,42495,44608,52711,2109,16733,7117,146296,-19159,30842,44724,15150,-5602,-1529,561,382567,33056,-2908,-8421,-4065,-15528,-4584,-5660,-161946,-45124,-2595,-8059,-10633,-13607,-5898,-5131,76214,85681,97444,33000,2180,13328,8816,19243,easy
297498,31512,15485,23662,10433,27362,22458,12807,-96363,-4770,-2764,-16432,-6078,-11867,-16073,-9822,334104,25668,5501,-9830,7052,-6063,-18712,-5652,-241371,20530,10159,-18623,-6118,-16389,-19669,-11134,-260592,-6996,-12553,-10286,-5317,-18808,-15411,-10151,-227745,3464,-11728,-23501,-9285,-25597,-18742,-11993,difficult
502798,69626,17191,25888,13133,10159,3141,2518,-465974,-41686,-12302,-20856,-11431,-7783,-1196,-1856,-279538,-4597,-6949,36886,-1336,13465,14623,7560,-340595,-61162,-15141,-20383,-10112,-6155,2024,321,-219322,188838,31115,38237,15139,7189,14693,11838,484165,35171,1839,-12100,1791,8233,10642,11580,easy
132596,25591,3954,7914,6593,5764,5505,7130,143309,3897,812,24023,15382,9864,15865,8751,-97445,8680,938,12263,27393,13400,3430,-2742,41072,19349,10624,-2744,-3481,-1545,-2661,-4970,-93194,-18270,-1787,-4266,-4728,-2993,-845,-6207,-128297,-24019,-2882,-6743,-5313,-203,-3899,-3024,difficult
645967,97053,32845,10158,20035,9421,7315,11427,-444668,-88695,-30805,-3934,-18376,-8006,-2438,-10020,-605696,-76997,-18360,-8604,-18510,-5100,-3320,-8015,-530794,-55182,-25611,3596,-9033,5118,9760,-8829,-571298,-35849,-26228,-7997,-18134,-6889,-3651,-9985,-524428,-36652,-28989,-6314,-18685,-5377,-5072,-10101,easy
71890,33981,3720,6369,1934,4369,1703,1927,32289,-22416,-1821,-3818,2072,-1702,647,-846,-64476,-22855,416,-625,6944,2123,5960,647,13913,-29266,-2519,-2934,646,-2317,150,-66,-58310,-27781,-1848,-4558,2090,1575,4960,2735,-41399,-10207,-2344,-3076,-746,-2350,181,-1258,difficult
154552,17049,2906,4812,3641,4039,2971,4763,-122880,-5871,5844,10934,3075,1462,-1086,-2478,-141395,-5090,4825,5583,-1869,-72,-1923,-2668,-143593,-4468,-810,5693,901,43,-1959,-2050,-130220,-732,3665,13797,526,-628,324,-1038,-65888,-1547,6539,-1681,-2063,2155,14181,-1429,easy
441247,63490,17229,11854,4674,3926,6408,3413,81084,-50041,-3506,3133,2684,757,-3048,-1070,-227373,-44107,2763,8127,-2393,4093,-3027,-356,-429166,-58096,-16431,-8407,4392,4256,-1089,-353,-420054,-43530,-7565,-10198,-2519,-1856,-5498,-1996,-243439,-42520,-9359,-10028,-2995,-386,-5363,-2529,difficult
947288,264184,70109,65835,23787,37065,22411,14745,-58887,-48485,-61532,-41617,-15415,-12176,-13256,-220,1188933,-5671,-38360,-59491,-18528,-28088,-18808,-9563,-492503,-222278,-69512,-65285,-17894,-34441,-21039,-13997,-666278,-259581,-64949,-63444,-21285,-35015,-21535,-14006,-764699,-194908,-64079,-62888,-21267,-35320,-21649,-14106,easy
331862,99695,17705,22481,9043,22859,13730,10021,-257458,-6673,-16441,-12784,18398,-10530,17241,1876,-249586,-69816,-12528,-17597,-7028,-19210,-12463,-8824,-201168,-15832,-8673,-19143,-5893,-20755,-10880,-9251,-288001,-75740,-14531,-19216,-6954,-19461,-11413,-8902,-288001,-75740,-14531,-19216,-6954,-19461,-11413,-8902,difficult
90622,23988,5103,5489,2919,2226,972,1397,-66444,52429,23963,56535,4380,4008,4898,754,-66836,-12379,-2931,-2275,-1580,-623,-72,-844,408048,26484,-892,1724,5346,6166,2503,3613,1999152,315096,15118,7532,19423,22458,25000,11969,159063,20834,19905,36580,24035,9694,4447,7799,easy
1790513,133247,32533,48521,44089,75844,87712,32149,-1459121,-40109,-19202,15704,77719,-58289,-75608,-24614,-1703735,-112034,-3960,-39964,-13225,-54847,-64078,-23177,-1767762,-113055,-29221,-35995,-34102,-71113,-82985,-27675,-1709419,-64427,-13272,-23961,-25172,-67431,-82315,-25232,-1779798,-123903,-30674,-21717,-32780,-59012,-80861,-27348,difficult
440048,36467,10033,15142,7673,8500,9023,5865,-236239,39652,28720,-2916,-666,13832,7871,1804,120249,103624,-3982,-5637,-233,-231,-3557,-2789,1258886,163242,-28,22025,5480,8227,6867,1607,-271427,-23475,-5730,-13011,-5057,-3859,-6261,-4580,-184601,-1108,31156,29189,3702,7181,389,4757,easy
41817,19774,8147,21124,6245,10829,12594,3155,227357,-7187,-7899,-17654,-3369,-9613,-10214,-1842,416461,160842,4081,-8259,379,-4821,-4053,331,5444,7097,1349,-17531,-2806,-9350,-11162,-1530,20821,-7761,-4650,-16037,-4457,-9332,-10801,-923,8577,-240,8933,-456,3833,-4488,-5912,4220,difficult
48599,14625,7165,8574,3891,4451,2302,2683,-7311,2017,3354,-7868,-3092,-3234,-422,-2122,-15668,13653,-3687,-5983,-2139,-2410,-344,-2167,8034,6320,-6075,-6351,-3643,-2426,-928,-1707,4730,-2974,12091,-3724,2303,3611,1112,-695,16767,-7049,-3520,-3787,-168,-2967,-1740,-1312,easy
234324,117159,4750,12609,9197,11448,12490,7715,-218899,-106819,1443,-4396,-3601,-5388,-6769,482,-189442,-89173,6331,-10037,-7327,-9656,-11379,-6632,-200234,-108318,13,-9131,-8556,-8061,-11664,-6487,-171262,-94313,-1338,-10890,-8519,-9567,-10441,-5676,-230411,-114828,3715,-9495,-7151,-3390,3022,-2947,difficult
909293,191861,24537,45057,32616,20107,19726,12124,609692,-45563,-5927,-36031,-11949,11370,-7072,746,-679902,-126599,-22734,-4989,-25232,-7247,-12297,-4494,-904136,-182214,-19402,-12744,-26362,-9821,-15501,-8464,-907487,-172911,-5572,-16759,-28656,-10825,-12219,-10812,-901225,-183644,-18817,-36993,-14866,-15462,-14445,-8148,easy
64789,28017,2961,6436,2379,2389,2200,1247,3811,11304,3433,-3230,-868,806,-1060,-814,344779,5672,3303,-2425,-487,2064,971,720,193870,101400,11276,-3957,3359,3082,210,-509,53257,-2426,1634,-5742,868,2706,-803,463,-63125,-18491,6826,-1763,-728,11772,8008,7077,difficult
103997,65808,29539,9735,12050,10060,9156,4569,-98767,-50165,-27316,3185,-2938,-693,-4194,-336,44415,14445,-13627,-4869,-7979,-2110,-3464,2921,126774,-27232,-28095,-2943,-2076,-6632,-2678,-649,-1470,-57380,-22544,-4663,-10843,-3749,-5928,-2493,85885,18986,-19590,9113,-834,-526,-965,4094,easy
239387,23891,8665,4952,4543,7794,2970,2224,-3329,-16779,-4051,-2434,-1484,-5534,-728,-1408,1221386,130800,19194,21472,3250,10537,5540,487,-147972,7768,-4904,-2865,-3405,-4629,-2185,-1585,-169858,-6066,2406,630,-367,-5871,-1381,-854,-121061,58067,13631,1861,1395,4055,3781,2452,difficult
88523,36653,7746,6777,2016,2066,1221,1378,-78378,3108,-294,-371,6209,9348,6032,6502,-79875,-33299,-459,1381,5111,8786,3373,1244,-31835,-32722,-6777,-5897,-366,-49,-60,-363,-16049,-14713,-5949,-4752,-1153,-948,-383,-423,-28810,-15610,-5342,693,5736,5487,3408,2785,easy
209927,65809,17468,20634,17161,9723,4461,4959,-184345,-58804,-14383,-18966,-16163,-8902,-3729,-4798,710346,183587,-8395,-9418,-4348,9454,2800,677,1637172,34517,9059,-2903,-3901,2890,820,-709,-133077,-30215,-17197,-18397,-15565,-5923,-3592,-4073,90989,-43140,-12124,-19748,-15880,-6715,-3175,-3128,difficult
875267,106077,9183,25318,14845,9871,11132,3367,-626512,-96037,-6991,-16276,-4651,-6841,-6913,-2112,-850590,-66945,-2780,66,-9365,-7807,-9618,-1870,-854625,-99543,-1622,-17287,-11633,-6780,-9501,-2348,-871972,-52566,38410,1239,-13290,-7517,-9203,-2240,-850583,-76878,3418,-1299,-9900,-6228,-9106,-2655,easy
828701,171612,31600,17148,7991,12193,10766,7592,-758760,-161489,-29459,-9753,-6484,-9415,-9374,-6051,-558564,-138517,-26306,-14928,-7341,-10974,-9359,-6299,-551137,-126053,-29863,-10552,1026,3939,93,-2553,-713590,-119657,-29267,-16603,-4577,-7859,-9058,-6497,-748821,-145279,-28410,-15932,-5697,-10253,-7547,-4791,difficult
49241,12655,7852,6571,7428,8565,3442,6241,74774,4905,-2521,-5616,-6486,-6951,-2757,-4588,5177,-1259,3762,-4440,-5534,-7060,-2351,-5481,26483,25982,-4590,-3531,-5975,-5989,-2306,-5641,2048099,396069,24280,1976,15975,-2319,389,-2100,115350,39422,10739,3946,-1410,4016,393,-4334,easy
421814,173003,59208,20671,43854,40756,38176,13758,-338725,-150039,-42991,32678,-40611,-26386,-16038,-4753,-390367,-157322,-53612,-17303,-40761,-37123,-35826,-12924,-409287,-151040,-56497,-13964,-36835,-33387,-32338,-5789,-342002,-162115,-51341,-17841,-41388,-38527,-36137,-11417,-354135,-167182,-52798,-9776,-40703,-36164,-35844,-12198,difficult
299733,29735,5748,3624,2661,2180,1612,1093,-289688,-6205,-1664,-2412,-1680,-514,8878,-55,-212167,-2200,-1363,1298,-331,-227,-205,198,-213362,12888,6026,4896,5056,5956,2210,8192,-257083,-3039,2452,8552,2508,4327,10154,3822,-290233,-9280,27859,15993,14180,2113,8542,3532,easy
371877,105855,12899,9852,7222,9358,6691,4730,150527,418317,276798,338844,169694,98575,87646,22345,-92352,-79211,-8026,-3636,-4126,-6912,-5284,-3436,-366603,-97685,-6073,-3546,-5716,240,10646,-1557,-305466,-84886,-10269,-7112,-5685,-8001,-5092,-3109,-299678,-80538,-8393,-7933,-6991,-6675,-4917,-2860,difficult
460610,32744,23408,16948,14273,18635,11902,7553,-73993,-24408,-21386,-15119,-12331,-17993,-11390,-7244,-371752,-7221,-21715,-12095,-6989,-7245,-9228,-5962,869793,37806,9733,-197,-4488,-4815,-423,6624,-459010,-23019,-21736,-8843,-4796,-3554,9738,1768,-440933,-7064,-16694,-2551,-9950,-8653,-7604,4423,easy
52125,21610,7104,6232,6094,3694,2004,2758,30111,47121,-5581,-4834,-869,-936,868,-57,97927,30041,-6319,-3897,-4080,840,91,-1622,-45900,-8179,-4151,-4318,-4228,5659,2632,2590,173725,-10367,2247,-1463,-4087,249,225,-1926,15577,-14595,-4473,-4768,-3430,-1762,-948,-873,difficult
60076,28801,5508,22283,2341,3301,1642,1755,-56656,-18215,7658,-18570,-131,-2742,-1196,-1426,36249,18061,68916,-11581,32430,5308,1766,94,12570,-17630,-122,-20882,-1123,-2353,-1235,-1526,22145,-14969,571,-21185,-1003,-2276,-1139,-1176,-55392,-11691,-5287,-20090,-1501,-2391,-1209,-1168,easy
132462,41560,8490,6414,4944,5167,3243,3224,324969,-21930,-1995,20090,593,503,3986,-127,182268,-28318,-3635,1587,-187,9683,2450,2444,-122076,-38309,-7953,-4214,-3818,-2137,-1938,-1636,-93182,-25409,-7201,5955,-2822,-892,449,271,-120916,-20504,-116,-61,2014,1057,-858,31,difficult
166822,21706,7050,19005,3529,10237,12691,6097,-81945,814,-1897,-17423,-1819,-8315,-10481,-4616,-158538,-13593,4336,-11965,1744,-4743,-8243,-2068,-161336,-18783,-1487,-7488,-971,-2149,-6076,-3126,-162963,-3332,-1156,-15192,2689,-2529,-6540,829,-134732,-14277,3818,-8015,2592,-1812,-7705,80,easy
454474,21799,11985,10667,11344,8763,10151,3973,-381889,-4779,-4672,-8451,-8107,-4083,-8468,-91,-301266,-2471,-6797,314,-2137,4027,-3571,394,-426105,-3008,-10317,1388,-6922,-4469,-6543,1346,-432243,-7707,-3123,-8895,-3625,-5368,-7513,488,-397809,39712,-6761,-9997,-9204,-7569,-9050,-3135,difficult
76613,30815,16761,5048,10523,6539,7032,3579,201061,14788,-14050,-3149,-4992,-1897,-4288,-2017,-67657,-11643,-16569,-590,-6250,-1980,199,2342,-72180,-14026,-10527,-2227,-6751,-101,-520,-881,200984,-24376,-15615,120,-8903,-4694,-5753,-2575,-14987,-16889,-10852,-665,-10202,-1297,-4549,-2271,easy
218125,153388,8465,4744,4438,8466,2755,3018,-162477,-146259,-5659,665,-1233,-7383,-2129,-1626,-128200,-115607,-1382,1177,9861,-3680,433,-1084,-208796,-131824,21549,65423,-1896,-4437,2797,-829,-213947,-148606,-7294,-1965,-3440,-7893,-2115,-2576,-109739,-89292,-2454,4382,-1340,1307,5688,4163,difficult
668531,106293,22665,12834,8517,16004,7706,10545,-306969,-93937,-17248,-9716,-3497,-11568,-4568,-7489,-7026,7401,-3605,-2846,-2256,-7913,-4349,-8473,-654102,-93390,-21271,-10527,-5341,-11837,-5456,-8857,-494327,-4125,57951,20406,6937,-6436,-2895,-815,-624907,-32523,-8164,-971,8811,976,-564,-4982,easy
169884,22025,2402,2685,2242,2026,2521,1634,561688,53328,3216,489,7373,12665,3626,3644,-157293,-4323,1800,2150,1132,3397,5663,3391,-119264,-14333,1264,-590,1117,-1278,-1228,-348,-90608,2514,1214,-1783,-1024,-664,-1505,-124,-70362,34785,16798,11690,4884,5313,2737,387,difficult
136993,45437,12340,8391,8237,4570,7679,4263,39352,16103,-8876,-863,-2439,-2058,-4587,-837,37333,32228,1779,10070,5372,8043,-5174,-1915,-98103,776,-3169,24172,-4201,3515,-5140,-3195,-66569,-11750,-4423,-6776,-3288,-2045,-6557,-3745,-39849,-14091,1961,-2700,-1910,645,-5059,-109,easy
783597,129675,61973,55207,51094,21295,23408,10979,-347032,249705,147808,75798,-15755,47307,21146,11487,974089,-60323,61486,-34309,-27737,14290,-891,2717,1391541,205174,-35530,-39962,-8122,12571,21053,5323,-643902,-102563,-42684,-50628,-46666,-15372,-17849,-8433,-671750,-72469,-57688,-50929,-49354,-12153,-15618,-9375,difficult
107314,89479,14990,2398,5678,3138,1450,1414,-69049,-68841,-10087,-112,-867,-1011,614,1243,937814,55159,15315,4951,3963,8512,8563,7531,-3286,-73283,-10111,2175,-2459,5454,4621,2889,-52233,-74521,-6876,-1049,-4877,-40,-286,-726,-60691,-72845,-8130,-489,-3992,-1271,1221,84,easy
